X,Y,U_exp,V_exp,U_theory,V_theory
0.00390625,0.00390625,0.501305,0.998695,0.501305,0.998695
0.0117188,0.00390625,0.501184,0.998816,0.501184,0.998816
0.0195312,0.00390625,0.501074,0.998926,0.501074,0.998926
0.0273438,0.00390625,0.500975,0.999025,0.500975,0.999025
0.0351562,0.00390625,0.500885,0.999115,0.500885,0.999115
0.0429688,0.00390625,0.500802,0.999198,0.500802,0.999198
0.0507812,0.00390625,0.500728,0.999272,0.500728,0.999272
0.0585938,0.00390625,0.50066,0.99934,0.50066,0.99934
0.0664062,0.00390625,0.500599,0.999401,0.500599,0.999401
0.0742188,0.00390625,0.500544,0.999456,0.500544,0.999456
0.0820312,0.00390625,0.500493,0.999507,0.500493,0.999507
0.0898438,0.00390625,0.500447,0.999553,0.500447,0.999553
0.0976562,0.00390625,0.500406,0.999594,0.500406,0.999594
0.105469,0.00390625,0.500368,0.999632,0.500368,0.999632
0.113281,0.00390625,0.500334,0.999666,0.500334,0.999666
0.121094,0.00390625,0.500303,0.999697,0.500303,0.999697
0.128906,0.00390625,0.500275,0.999725,0.500275,0.999725
0.136719,0.00390625,0.500249,0.999751,0.500249,0.999751
0.144531,0.00390625,0.500226,0.999774,0.500226,0.999774
0.152344,0.00390625,0.500205,0.999795,0.500205,0.999795
0.160156,0.00390625,0.500186,0.999814,0.500186,0.999814
0.167969,0.00390625,0.500169,0.999831,0.500169,0.999831
0.175781,0.00390625,0.500153,0.999847,0.500153,0.999847
0.183594,0.00390625,0.500139,0.999861,0.500139,0.999861
0.191406,0.00390625,0.500126,0.999874,0.500126,0.999874
0.199219,0.00390625,0.500114,0.999886,0.500114,0.999886
0.207031,0.00390625,0.500104,0.999896,0.500104,0.999896
0.214844,0.00390625,0.500094,0.999906,0.500094,0.999906
0.222656,0.00390625,0.500085,0.999915,0.500085,0.999915
0.230469,0.00390625,0.500077,0.999923,0.500077,0.999923
0.238281,0.00390625,0.50007,0.99993,0.50007,0.99993
0.246094,0.00390625,0.500064,0.999936,0.500064,0.999936
0.253906,0.00390625,0.500058,0.999942,0.500058,0.999942
