X,Y,U_exp,V_exp,U_theory,V_theory
0.00390625,0.00390625,0.506295,0.993705,0.506295,0.993705
0.0117188,0.00390625,0.505722,0.994278,0.505722,0.994278
0.0195312,0.00390625,0.505201,0.994799,0.505201,0.994799
0.0273438,0.00390625,0.504726,0.995274,0.504726,0.995274
0.0351562,0.00390625,0.504294,0.995706,0.504294,0.995706
0.0429688,0.00390625,0.503901,0.996099,0.503901,0.996099
0.0507812,0.00390625,0.503543,0.996457,0.503543,0.996457
0.0585938,0.00390625,0.503218,0.996782,0.503218,0.996782
0.0664062,0.00390625,0.502922,0.997078,0.502922,0.997078
0.0742188,0.00390625,0.502653,0.997347,0.502653,0.997347
0.0820312,0.00390625,0.502408,0.997592,0.502408,0.997592
0.0898438,0.00390625,0.502186,0.997814,0.502186,0.997814
0.0976562,0.00390625,0.501984,0.998016,0.501984,0.998016
0.105469,0.00390625,0.501801,0.998199,0.501801,0.998199
0.113281,0.00390625,0.501635,0.998365,0.501635,0.998365
0.121094,0.00390625,0.501484,0.998516,0.501484,0.998516
0.128906,0.00390625,0.501346,0.998654,0.501346,0.998654
0.136719,0.00390625,0.501222,0.998778,0.501222,0.998778
0.144531,0.00390625,0.501108,0.998892,0.501108,0.998892
0.152344,0.00390625,0.501006,0.998994,0.501006,0.998994
0.160156,0.00390625,0.500912,0.999088,0.500912,0.999088
0.167969,0.00390625,0.500828,0.999172,0.500828,0.999172
0.175781,0.00390625,0.500751,0.999249,0.500751,0.999249
0.183594,0.00390625,0.500681,0.999319,0.500681,0.999319
0.191406,0.00390625,0.500618,0.999382,0.500618,0.999382
0.199219,0.00390625,0.500561,0.999439,0.500561,0.999439
0.207031,0.00390625,0.500509,0.999491,0.500509,0.999491
0.214844,0.00390625,0.500461,0.999539,0.500461,0.999539
0.222656,0.00390625,0.500419,0.999581,0.500419,0.999581
0.230469,0.00390625,0.50038,0.99962,0.50038,0.99962
0.238281,0.00390625,0.500344,0.999656,0.500344,0.999656
0.246094,0.00390625,0.500312,0.999688,0.500312,0.999688
0.253906,0.00390625,0.500283,0.999717,0.500283,0.999717
0.261719,0.00390625,0.500257,0.999743,0.500257,0.999743
0.269531,0.00390625,0.500233,0.999767,0.500233,0.999767
0.277344,0.00390625,0.500211,0.999789,0.500211,0.999789
0.285156,0.00390625,0.500192,0.999808,0.500192,0.999808
0.292969,0.00390625,0.500174,0.999826,0.500174,0.999826
0.300781,0.00390625,0.500158,0.999842,0.500158,0.999842
0.308594,0.00390625,0.500143,0.999857,0.500143,0.999857
0.316406,0.00390625,0.50013,0.99987,0.50013,0.99987
0.324219,0.00390625,0.500118,0.999882,0.500118,0.999882
0.332031,0.00390625,0.500107,0.999893,0.500107,0.999893
0.339844,0.00390625,0.500097,0.999903,0.500097,0.999903
0.347656,0.00390625,0.500088,0.999912,0.500088,0.999912
0.355469,0.00390625,0.50008,0.99992,0.50008,0.99992
0.363281,0.00390625,0.500072,0.999928,0.500072,0.999928
0.371094,0.00390625,0.500066,0.999934,0.500066,0.999934
