X,Y,U_exp,V_exp,U_theory,V_theory
0.00390625,0.00390625,0.503977,0.996023,0.503977,0.996023
0.0117188,0.00390625,0.503612,0.996388,0.503612,0.996388
0.0195312,0.00390625,0.50328,0.99672,0.50328,0.99672
0.0273438,0.00390625,0.502979,0.997021,0.502979,0.997021
0.0351562,0.00390625,0.502705,0.997295,0.502705,0.997295
0.0429688,0.00390625,0.502455,0.997545,0.502455,0.997545
0.0507812,0.00390625,0.502229,0.997771,0.502229,0.997771
0.0585938,0.00390625,0.502023,0.997977,0.502023,0.997977
0.0664062,0.00390625,0.501836,0.998164,0.501836,0.998164
0.0742188,0.00390625,0.501667,0.998333,0.501667,0.998333
0.0820312,0.00390625,0.501513,0.998487,0.501513,0.998487
0.0898438,0.00390625,0.501373,0.998627,0.501373,0.998627
0.0976562,0.00390625,0.501246,0.998754,0.501246,0.998754
0.105469,0.00390625,0.50113,0.99887,0.50113,0.99887
0.113281,0.00390625,0.501025,0.998975,0.501025,0.998975
0.121094,0.00390625,0.50093,0.99907,0.50093,0.99907
0.128906,0.00390625,0.500844,0.999156,0.500844,0.999156
0.136719,0.00390625,0.500766,0.999234,0.500766,0.999234
0.144531,0.00390625,0.500695,0.999305,0.500695,0.999305
0.152344,0.00390625,0.50063,0.99937,0.50063,0.99937
0.160156,0.00390625,0.500572,0.999428,0.500572,0.999428
0.167969,0.00390625,0.500519,0.999481,0.500519,0.999481
0.175781,0.00390625,0.500471,0.999529,0.500471,0.999529
0.183594,0.00390625,0.500427,0.999573,0.500427,0.999573
0.191406,0.00390625,0.500387,0.999613,0.500387,0.999613
0.199219,0.00390625,0.500351,0.999649,0.500351,0.999649
0.207031,0.00390625,0.500319,0.999681,0.500319,0.999681
0.214844,0.00390625,0.500289,0.999711,0.500289,0.999711
0.222656,0.00390625,0.500262,0.999738,0.500262,0.999738
0.230469,0.00390625,0.500238,0.999762,0.500238,0.999762
0.238281,0.00390625,0.500216,0.999784,0.500216,0.999784
0.246094,0.00390625,0.500196,0.999804,0.500196,0.999804
0.253906,0.00390625,0.500177,0.999823,0.500177,0.999823
0.261719,0.00390625,0.500161,0.999839,0.500161,0.999839
0.269531,0.00390625,0.500146,0.999854,0.500146,0.999854
