X,Y,U_exp,V_exp,U_theory,V_theory
0.00390625,0.00390625,0.504361,0.995639,0.504361,0.995639
0.0117188,0.00390625,0.503961,0.996039,0.503961,0.996039
0.0195312,0.00390625,0.503598,0.996402,0.503598,0.996402
0.0273438,0.00390625,0.503268,0.996732,0.503268,0.996732
0.0351562,0.00390625,0.502967,0.997033,0.502967,0.997033
0.0429688,0.00390625,0.502694,0.997306,0.502694,0.997306
0.0507812,0.00390625,0.502446,0.997554,0.502446,0.997554
0.0585938,0.00390625,0.50222,0.99778,0.50222,0.99778
0.0664062,0.00390625,0.502015,0.997985,0.502015,0.997985
0.0742188,0.00390625,0.501829,0.998171,0.501829,0.998171
0.0820312,0.00390625,0.50166,0.99834,0.50166,0.99834
0.0898438,0.00390625,0.501507,0.998493,0.501507,0.998493
0.0976562,0.00390625,0.501367,0.998633,0.501367,0.998633
0.105469,0.00390625,0.501241,0.998759,0.501241,0.998759
0.113281,0.00390625,0.501126,0.998874,0.501126,0.998874
0.121094,0.00390625,0.501022,0.998978,0.501022,0.998978
0.128906,0.00390625,0.500927,0.999073,0.500927,0.999073
0.136719,0.00390625,0.500841,0.999159,0.500841,0.999159
0.144531,0.00390625,0.500763,0.999237,0.500763,0.999237
0.152344,0.00390625,0.500692,0.999308,0.500692,0.999308
0.160156,0.00390625,0.500628,0.999372,0.500628,0.999372
0.167969,0.00390625,0.50057,0.99943,0.50057,0.99943
0.175781,0.00390625,0.500517,0.999483,0.500517,0.999483
0.183594,0.00390625,0.500469,0.999531,0.500469,0.999531
0.191406,0.00390625,0.500425,0.999575,0.500425,0.999575
0.199219,0.00390625,0.500386,0.999614,0.500386,0.999614
0.207031,0.00390625,0.50035,0.99965,0.50035,0.99965
0.214844,0.00390625,0.500317,0.999683,0.500317,0.999683
0.222656,0.00390625,0.500288,0.999712,0.500288,0.999712
0.230469,0.00390625,0.500261,0.999739,0.500261,0.999739
0.238281,0.00390625,0.500237,0.999763,0.500237,0.999763
0.246094,0.00390625,0.500215,0.999785,0.500215,0.999785
0.253906,0.00390625,0.500195,0.999805,0.500195,0.999805
0.261719,0.00390625,0.500177,0.999823,0.500177,0.999823
0.269531,0.00390625,0.50016,0.99984,0.50016,0.99984
0.277344,0.00390625,0.500145,0.999855,0.500145,0.999855
0.285156,0.00390625,0.500132,0.999868,0.500132,0.999868
0.292969,0.00390625,0.50012,0.99988,0.50012,0.99988
0.300781,0.00390625,0.500108,0.999892,0.500108,0.999892
0.308594,0.00390625,0.500098,0.999902,0.500098,0.999902
0.316406,0.00390625,0.500089,0.999911,0.500089,0.999911
0.324219,0.00390625,0.500081,0.999919,0.500081,0.999919
0.332031,0.00390625,0.500073,0.999927,0.500073,0.999927
0.339844,0.00390625,0.500067,0.999933,0.500067,0.999933
0.347656,0.00390625,0.50006,0.99994,0.50006,0.99994
0.355469,0.00390625,0.500055,0.999945,0.500055,0.999945
0.363281,0.00390625,0.50005,0.99995,0.50005,0.99995
0.371094,0.00390625,0.500045,0.999955,0.500045,0.999955
0.378906,0.00390625,0.500041,0.999959,0.500041,0.999959
0.386719,0.00390625,0.500037,0.999963,0.500037,0.999963
0.394531,0.00390625,0.500034,0.999966,0.500034,0.999966
0.402344,0.00390625,0.50003,0.99997,0.50003,0.99997
0.410156,0.00390625,0.500028,0.999972,0.500028,0.999972
0.417969,0.00390625,0.500025,0.999975,0.500025,0.999975
0.425781,0.00390625,0.500023,0.999977,0.500023,0.999977
0.433594,0.00390625,0.500021,0.999979,0.500021,0.999979
0.441406,0.00390625,0.500019,0.999981,0.500019,0.999981
0.449219,0.00390625,0.500017,0.999983,0.500017,0.999983
