X,Y,U_exp,V_exp,U_theory,V_theory
0.00390625,0.00390625,0.510841,0.989159,0.510841,0.989159
0.0117188,0.00390625,0.509873,0.990127,0.509873,0.990127
0.0195312,0.00390625,0.508987,0.991013,0.508987,0.991013
0.0273438,0.00390625,0.508178,0.991822,0.508178,0.991822
0.0351562,0.00390625,0.50744,0.99256,0.50744,0.99256
0.0429688,0.00390625,0.506767,0.993233,0.506767,0.993233
0.0507812,0.00390625,0.506152,0.993848,0.506152,0.993848
0.0585938,0.00390625,0.505593,0.994407,0.505593,0.994407
0.0664062,0.00390625,0.505083,0.994917,0.505083,0.994917
0.0742188,0.00390625,0.504619,0.995381,0.504619,0.995381
0.0820312,0.00390625,0.504196,0.995804,0.504196,0.995804
0.0898438,0.00390625,0.503812,0.996188,0.503812,0.996188
0.0976562,0.00390625,0.503462,0.996538,0.503462,0.996538
0.105469,0.00390625,0.503144,0.996856,0.503144,0.996856
0.113281,0.00390625,0.502855,0.997145,0.502855,0.997145
0.121094,0.00390625,0.502592,0.997408,0.502592,0.997408
0.128906,0.00390625,0.502353,0.997647,0.502353,0.997647
0.136719,0.00390625,0.502136,0.997864,0.502136,0.997864
0.144531,0.00390625,0.501939,0.998061,0.501939,0.998061
0.152344,0.00390625,0.50176,0.99824,0.50176,0.99824
0.160156,0.00390625,0.501597,0.998403,0.501597,0.998403
0.167969,0.00390625,0.501449,0.998551,0.501449,0.998551
0.175781,0.00390625,0.501315,0.998685,0.501315,0.998685
0.183594,0.00390625,0.501193,0.998807,0.501193,0.998807
0.191406,0.00390625,0.501083,0.998917,0.501083,0.998917
0.199219,0.00390625,0.500983,0.999017,0.500983,0.999017
0.207031,0.00390625,0.500891,0.999109,0.500891,0.999109
0.214844,0.00390625,0.500809,0.999191,0.500809,0.999191
0.222656,0.00390625,0.500734,0.999266,0.500734,0.999266
0.230469,0.00390625,0.500666,0.999334,0.500666,0.999334
0.238281,0.00390625,0.500604,0.999396,0.500604,0.999396
0.246094,0.00390625,0.500548,0.999452,0.500548,0.999452
0.253906,0.00390625,0.500497,0.999503,0.500497,0.999503
0.261719,0.00390625,0.500451,0.999549,0.500451,0.999549
0.269531,0.00390625,0.500409,0.999591,0.500409,0.999591
0.277344,0.00390625,0.500371,0.999629,0.500371,0.999629
0.285156,0.00390625,0.500336,0.999664,0.500336,0.999664
0.292969,0.00390625,0.500305,0.999695,0.500305,0.999695
0.300781,0.00390625,0.500277,0.999723,0.500277,0.999723
0.308594,0.00390625,0.500251,0.999749,0.500251,0.999749
0.316406,0.00390625,0.500228,0.999772,0.500228,0.999772
0.324219,0.00390625,0.500207,0.999793,0.500207,0.999793
0.332031,0.00390625,0.500187,0.999813,0.500187,0.999813
