X,Y,U_exp,V_exp,U_theory,V_theory
0.00390625,0.00390625,0.50991,0.99009,0.50991,0.99009
0.0117188,0.00390625,0.509021,0.990979,0.509021,0.990979
0.0195312,0.00390625,0.508209,0.991791,0.508209,0.991791
0.0273438,0.00390625,0.507468,0.992532,0.507468,0.992532
0.0351562,0.00390625,0.506792,0.993208,0.506792,0.993208
0.0429688,0.00390625,0.506176,0.993824,0.506176,0.993824
0.0507812,0.00390625,0.505614,0.994386,0.505614,0.994386
0.0585938,0.00390625,0.505103,0.994897,0.505103,0.994897
0.0664062,0.00390625,0.504637,0.995363,0.504637,0.995363
0.0742188,0.00390625,0.504213,0.995787,0.504213,0.995787
0.0820312,0.00390625,0.503827,0.996173,0.503827,0.996173
0.0898438,0.00390625,0.503476,0.996524,0.503476,0.996524
0.0976562,0.00390625,0.503156,0.996844,0.503156,0.996844
0.105469,0.00390625,0.502866,0.997134,0.502866,0.997134
0.113281,0.00390625,0.502602,0.997398,0.502602,0.997398
0.121094,0.00390625,0.502362,0.997638,0.502362,0.997638
0.128906,0.00390625,0.502144,0.997856,0.502144,0.997856
0.136719,0.00390625,0.501946,0.998054,0.501946,0.998054
0.144531,0.00390625,0.501767,0.998233,0.501767,0.998233
0.152344,0.00390625,0.501603,0.998397,0.501603,0.998397
0.160156,0.00390625,0.501455,0.998545,0.501455,0.998545
0.167969,0.00390625,0.50132,0.99868,0.50132,0.99868
0.175781,0.00390625,0.501198,0.998802,0.501198,0.998802
0.183594,0.00390625,0.501087,0.998913,0.501087,0.998913
0.191406,0.00390625,0.500986,0.999014,0.500986,0.999014
0.199219,0.00390625,0.500895,0.999105,0.500895,0.999105
0.207031,0.00390625,0.500812,0.999188,0.500812,0.999188
0.214844,0.00390625,0.500737,0.999263,0.500737,0.999263
0.222656,0.00390625,0.500668,0.999332,0.500668,0.999332
0.230469,0.00390625,0.500606,0.999394,0.500606,0.999394
0.238281,0.00390625,0.50055,0.99945,0.50055,0.99945
0.246094,0.00390625,0.500499,0.999501,0.500499,0.999501
0.253906,0.00390625,0.500453,0.999547,0.500453,0.999547
0.261719,0.00390625,0.500411,0.999589,0.500411,0.999589
0.269531,0.00390625,0.500372,0.999628,0.500372,0.999628
0.277344,0.00390625,0.500338,0.999662,0.500338,0.999662
0.285156,0.00390625,0.500306,0.999694,0.500306,0.999694
0.292969,0.00390625,0.500278,0.999722,0.500278,0.999722
0.300781,0.00390625,0.500252,0.999748,0.500252,0.999748
0.308594,0.00390625,0.500229,0.999771,0.500229,0.999771
0.316406,0.00390625,0.500207,0.999793,0.500207,0.999793
0.324219,0.00390625,0.500188,0.999812,0.500188,0.999812
0.332031,0.00390625,0.500171,0.999829,0.500171,0.999829
0.339844,0.00390625,0.500155,0.999845,0.500155,0.999845
0.347656,0.00390625,0.50014,0.99986,0.50014,0.99986
0.355469,0.00390625,0.500127,0.999873,0.500127,0.999873
0.363281,0.00390625,0.500115,0.999885,0.500115,0.999885
0.371094,0.00390625,0.500105,0.999895,0.500105,0.999895
0.378906,0.00390625,0.500095,0.999905,0.500095,0.999905
0.386719,0.00390625,0.500086,0.999914,0.500086,0.999914
0.394531,0.00390625,0.500078,0.999922,0.500078,0.999922
0.402344,0.00390625,0.500071,0.999929,0.500071,0.999929
0.410156,0.00390625,0.500064,0.999936,0.500064,0.999936
0.417969,0.00390625,0.500058,0.999942,0.500058,0.999942
0.425781,0.00390625,0.500053,0.999947,0.500053,0.999947
0.433594,0.00390625,0.500048,0.999952,0.500048,0.999952
0.441406,0.00390625,0.500044,0.999956,0.500044,0.999956
0.449219,0.00390625,0.500039,0.999961,0.500039,0.999961
0.457031,0.00390625,0.500036,0.999964,0.500036,0.999964
0.464844,0.00390625,0.500032,0.999968,0.500032,0.999968
0.472656,0.00390625,0.500029,0.999971,0.500029,0.999971
0.480469,0.00390625,0.500027,0.999973,0.500027,0.999973
0.488281,0.00390625,0.500024,0.999976,0.500024,0.999976
0.496094,0.00390625,0.500022,0.999978,0.500022,0.999978
0.00390625,0.0117188,0.510882,0.989118,0.510882,0.989118
0.0117188,0.0117188,0.509909,0.990091,0.50991,0.99009
0.0195312,0.0117188,0.50902,0.99098,0.509021,0.990979
0.0273438,0.0117188,0.508209,0.991791,0.508209,0.991791
0.0351562,0.0117188,0.507468,0.992532,0.507468,0.992532
0.0429688,0.0117188,0.506792,0.993208,0.506792,0.993208
0.0507812,0.0117188,0.506175,0.993825,0.506176,0.993824
0.0585938,0.0117188,0.505614,0.994386,0.505614,0.994386
0.0664062,0.0117188,0.505102,0.994898,0.505103,0.994897
0.0742188,0.0117188,0.504636,0.995364,0.504637,0.995363
0.0820312,0.0117188,0.504212,0.995788,0.504213,0.995787
0.0898438,0.0117188,0.503826,0.996174,0.503827,0.996173
0.0976562,0.0117188,0.503475,0.996525,0.503476,0.996524
0.105469,0.0117188,0.503156,0.996844,0.503156,0.996844
0.113281,0.0117188,0.502866,0.997134,0.502866,0.997134
0.121094,0.0117188,0.502602,0.997398,0.502602,0.997398
0.128906,0.0117188,0.502362,0.997638,0.502362,0.997638
0.136719,0.0117188,0.502144,0.997856,0.502144,0.997856
0.144531,0.0117188,0.501946,0.998054,0.501946,0.998054
0.152344,0.0117188,0.501766,0.998234,0.501767,0.998233
0.160156,0.0117188,0.501603,0.998397,0.501603,0.998397
0.167969,0.0117188,0.501455,0.998545,0.501455,0.998545
0.175781,0.0117188,0.50132,0.99868,0.50132,0.99868
0.183594,0.0117188,0.501198,0.998802,0.501198,0.998802
0.191406,0.0117188,0.501087,0.998913,0.501087,0.998913
0.199219,0.0117188,0.500986,0.999014,0.500986,0.999014
0.207031,0.0117188,0.500895,0.999105,0.500895,0.999105
0.214844,0.0117188,0.500812,0.999188,0.500812,0.999188
0.222656,0.0117188,0.500737,0.999263,0.500737,0.999263
0.230469,0.0117188,0.500668,0.999332,0.500668,0.999332
0.238281,0.0117188,0.500606,0.999394,0.500606,0.999394
0.246094,0.0117188,0.50055,0.99945,0.50055,0.99945
0.253906,0.0117188,0.500499,0.999501,0.500499,0.999501
0.261719,0.0117188,0.500452,0.999548,0.500453,0.999547
0.269531,0.0117188,0.50041,0.99959,0.500411,0.999589
0.277344,0.0117188,0.500372,0.999628,0.500372,0.999628
0.285156,0.0117188,0.500338,0.999662,0.500338,0.999662
0.292969,0.0117188,0.500306,0.999694,0.500306,0.999694
0.300781,0.0117188,0.500278,0.999722,0.500278,0.999722
0.308594,0.0117188,0.500252,0.999748,0.500252,0.999748
0.316406,0.0117188,0.500229,0.999771,0.500229,0.999771
0.324219,0.0117188,0.500207,0.999793,0.500207,0.999793
0.332031,0.0117188,0.500188,0.999812,0.500188,0.999812
0.339844,0.0117188,0.500171,0.999829,0.500171,0.999829
0.347656,0.0117188,0.500155,0.999845,0.500155,0.999845
0.355469,0.0117188,0.50014,0.99986,0.50014,0.99986
0.363281,0.0117188,0.500127,0.999873,0.500127,0.999873
0.371094,0.0117188,0.500115,0.999885,0.500115,0.999885
0.378906,0.0117188,0.500105,0.999895,0.500105,0.999895
0.386719,0.0117188,0.500095,0.999905,0.500095,0.999905
0.394531,0.0117188,0.500086,0.999914,0.500086,0.999914
0.402344,0.0117188,0.500078,0.999922,0.500078,0.999922
0.410156,0.0117188,0.500071,0.999929,0.500071,0.999929
0.417969,0.0117188,0.500064,0.999936,0.500064,0.999936
0.425781,0.0117188,0.500058,0.999942,0.500058,0.999942
0.433594,0.0117188,0.500053,0.999947,0.500053,0.999947
0.441406,0.0117188,0.500048,0.999952,0.500048,0.999952
0.449219,0.0117188,0.500043,0.999957,0.500044,0.999956
0.457031,0.0117188,0.500039,0.999961,0.500039,0.999961
0.464844,0.0117188,0.500036,0.999964,0.500036,0.999964
0.472656,0.0117188,0.500032,0.999968,0.500032,0.999968
0.480469,0.0117188,0.500029,0.999971,0.500029,0.999971
0.488281,0.0117188,0.500027,0.999973,0.500027,0.999973
0.496094,0.0117188,0.500024,0.999976,0.500024,0.999976
0.00390625,0.0195312,0.511945,0.988055,0.511945,0.988055
0.0117188,0.0195312,0.510881,0.989119,0.510882,0.989118
0.0195312,0.0195312,0.509909,0.990091,0.50991,0.99009
0.0273438,0.0195312,0.50902,0.99098,0.509021,0.990979
0.0351562,0.0195312,0.508208,0.991792,0.508209,0.991791
0.0429688,0.0195312,0.507467,0.992533,0.507468,0.992532
0.0507812,0.0195312,0.506791,0.993209,0.506792,0.993208
0.0585938,0.0195312,0.506175,0.993825,0.506176,0.993824
0.0664062,0.0195312,0.505613,0.994387,0.505614,0.994386
0.0742188,0.0195312,0.505102,0.994898,0.505103,0.994897
0.0820312,0.0195312,0.504636,0.995364,0.504637,0.995363
0.0898438,0.0195312,0.504212,0.995788,0.504213,0.995787
0.0976562,0.0195312,0.503826,0.996174,0.503827,0.996173
0.105469,0.0195312,0.503475,0.996525,0.503476,0.996524
0.113281,0.0195312,0.503156,0.996844,0.503156,0.996844
0.121094,0.0195312,0.502865,0.997135,0.502866,0.997134
0.128906,0.0195312,0.502601,0.997399,0.502602,0.997398
0.136719,0.0195312,0.502362,0.997638,0.502362,0.997638
0.144531,0.0195312,0.502144,0.997856,0.502144,0.997856
0.152344,0.0195312,0.501946,0.998054,0.501946,0.998054
0.160156,0.0195312,0.501766,0.998234,0.501767,0.998233
0.167969,0.0195312,0.501603,0.998397,0.501603,0.998397
0.175781,0.0195312,0.501455,0.998545,0.501455,0.998545
0.183594,0.0195312,0.50132,0.99868,0.50132,0.99868
0.191406,0.0195312,0.501198,0.998802,0.501198,0.998802
0.199219,0.0195312,0.501087,0.998913,0.501087,0.998913
0.207031,0.0195312,0.500986,0.999014,0.500986,0.999014
0.214844,0.0195312,0.500895,0.999105,0.500895,0.999105
0.222656,0.0195312,0.500812,0.999188,0.500812,0.999188
0.230469,0.0195312,0.500736,0.999264,0.500737,0.999263
0.238281,0.0195312,0.500668,0.999332,0.500668,0.999332
0.246094,0.0195312,0.500606,0.999394,0.500606,0.999394
0.253906,0.0195312,0.50055,0.99945,0.50055,0.99945
0.261719,0.0195312,0.500499,0.999501,0.500499,0.999501
0.269531,0.0195312,0.500452,0.999548,0.500453,0.999547
0.277344,0.0195312,0.50041,0.99959,0.500411,0.999589
0.285156,0.0195312,0.500372,0.999628,0.500372,0.999628
0.292969,0.0195312,0.500338,0.999662,0.500338,0.999662
0.300781,0.0195312,0.500306,0.999694,0.500306,0.999694
0.308594,0.0195312,0.500278,0.999722,0.500278,0.999722
0.316406,0.0195312,0.500252,0.999748,0.500252,0.999748
0.324219,0.0195312,0.500229,0.999771,0.500229,0.999771
0.332031,0.0195312,0.500207,0.999793,0.500207,0.999793
0.339844,0.0195312,0.500188,0.999812,0.500188,0.999812
0.347656,0.0195312,0.500171,0.999829,0.500171,0.999829
0.355469,0.0195312,0.500155,0.999845,0.500155,0.999845
0.363281,0.0195312,0.50014,0.99986,0.50014,0.99986
0.371094,0.0195312,0.500127,0.999873,0.500127,0.999873
0.378906,0.0195312,0.500115,0.999885,0.500115,0.999885
0.386719,0.0195312,0.500105,0.999895,0.500105,0.999895
0.394531,0.0195312,0.500095,0.999905,0.500095,0.999905
0.402344,0.0195312,0.500086,0.999914,0.500086,0.999914
0.410156,0.0195312,0.500078,0.999922,0.500078,0.999922
0.417969,0.0195312,0.500071,0.999929,0.500071,0.999929
0.425781,0.0195312,0.500064,0.999936,0.500064,0.999936
0.433594,0.0195312,0.500058,0.999942,0.500058,0.999942
0.441406,0.0195312,0.500053,0.999947,0.500053,0.999947
0.449219,0.0195312,0.500048,0.999952,0.500048,0.999952
0.457031,0.0195312,0.500043,0.999957,0.500044,0.999956
0.464844,0.0195312,0.500039,0.999961,0.500039,0.999961
0.472656,0.0195312,0.500036,0.999964,0.500036,0.999964
0.480469,0.0195312,0.500032,0.999968,0.500032,0.999968
0.488281,0.0195312,0.500029,0.999971,0.500029,0.999971
0.496094,0.0195312,0.500027,0.999973,0.500027,0.999973
0.00390625,0.0273438,0.513106,0.986894,0.513106,0.986894
0.0117188,0.0273438,0.511944,0.988056,0.511945,0.988055
0.0195312,0.0273438,0.510881,0.989119,0.510882,0.989118
