X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.625,0.875,0.625,0.875
0.015,0.005,0.617198,0.882802,0.617198,0.882802
0.025,0.005,0.609456,0.890544,0.609456,0.890544
0.035,0.005,0.601833,0.898167,0.601833,0.898167
0.045,0.005,0.594385,0.905615,0.594385,0.905615
0.055,0.005,0.587161,0.912839,0.587161,0.912839
0.065,0.005,0.580205,0.919795,0.580205,0.919795
0.075,0.005,0.573554,0.926446,0.573554,0.926446
0.085,0.005,0.567235,0.932765,0.567235,0.932765
0.095,0.005,0.561271,0.938729,0.561271,0.938729
0.105,0.005,0.555675,0.944325,0.555675,0.944325
0.115,0.005,0.550453,0.949547,0.550453,0.949547
0.125,0.005,0.545606,0.954394,0.545606,0.954394
0.135,0.005,0.541129,0.958871,0.541129,0.958871
0.145,0.005,0.537012,0.962988,0.537012,0.962988
0.155,0.005,0.533241,0.966759,0.533241,0.966759
0.165,0.005,0.529801,0.970199,0.529801,0.970199
0.175,0.005,0.526673,0.973327,0.526673,0.973327
0.185,0.005,0.523837,0.976163,0.523837,0.976163
0.195,0.005,0.521275,0.978725,0.521275,0.978725
0.205,0.005,0.518965,0.981035,0.518965,0.981035
0.215,0.005,0.516887,0.983113,0.516887,0.983113
0.225,0.005,0.515022,0.984978,0.515022,0.984978
0.235,0.005,0.513351,0.986649,0.513351,0.986649
0.245,0.005,0.511856,0.988144,0.511856,0.988144
0.255,0.005,0.510522,0.989478,0.510522,0.989478
0.265,0.005,0.509332,0.990668,0.509332,0.990668
0.275,0.005,0.508271,0.991729,0.508271,0.991729
0.285,0.005,0.507328,0.992672,0.507328,0.992672
0.295,0.005,0.506489,0.993511,0.506489,0.993511
0.305,0.005,0.505744,0.994256,0.505744,0.994256
0.315,0.005,0.505083,0.994917,0.505083,0.994917
0.325,0.005,0.504497,0.995503,0.504497,0.995503
0.005,0.015,0.632802,0.867198,0.632802,0.867198
0.015,0.015,0.625,0.875,0.625,0.875
0.025,0.015,0.617198,0.882802,0.617198,0.882802
0.035,0.015,0.609456,0.890544,0.609456,0.890544
0.045,0.015,0.601833,0.898167,0.601833,0.898167
0.055,0.015,0.594385,0.905615,0.594385,0.905615
0.065,0.015,0.587161,0.912839,0.587161,0.912839
0.075,0.015,0.580205,0.919795,0.580205,0.919795
0.085,0.015,0.573554,0.926446,0.573554,0.926446
0.095,0.015,0.567235,0.932765,0.567235,0.932765
0.105,0.015,0.561271,0.938729,0.561271,0.938729
0.115,0.015,0.555675,0.944325,0.555675,0.944325
0.125,0.015,0.550453,0.949547,0.550453,0.949547
0.135,0.015,0.545606,0.954394,0.545606,0.954394
0.145,0.015,0.541129,0.958871,0.541129,0.958871
0.155,0.015,0.537012,0.962988,0.537012,0.962988
0.165,0.015,0.533241,0.966759,0.533241,0.966759
0.175,0.015,0.529801,0.970199,0.529801,0.970199
0.185,0.015,0.526673,0.973327,0.526673,0.973327
0.195,0.015,0.523837,0.976163,0.523837,0.976163
0.205,0.015,0.521275,0.978725,0.521275,0.978725
0.215,0.015,0.518965,0.981035,0.518965,0.981035
0.225,0.015,0.516887,0.983113,0.516887,0.983113
0.235,0.015,0.515022,0.984978,0.515022,0.984978
0.245,0.015,0.513351,0.986649,0.513351,0.986649
0.255,0.015,0.511856,0.988144,0.511856,0.988144
0.265,0.015,0.510522,0.989478,0.510522,0.989478
0.275,0.015,0.509332,0.990668,0.509332,0.990668
0.285,0.015,0.508271,0.991729,0.508271,0.991729
0.295,0.015,0.507328,0.992672,0.507328,0.992672
0.305,0.015,0.506489,0.993511,0.506489,0.993511
0.315,0.015,0.505744,0.994256,0.505744,0.994256
0.325,0.015,0.505083,0.994917,0.505083,0.994917
0.005,0.025,0.640544,0.859456,0.640544,0.859456
0.015,0.025,0.632802,0.867198,0.632802,0.867198
0.025,0.025,0.625,0.875,0.625,0.875
0.035,0.025,0.617198,0.882802,0.617198,0.882802
0.045,0.025,0.609456,0.890544,0.609456,0.890544
0.055,0.025,0.601833,0.898167,0.601833,0.898167
0.065,0.025,0.594385,0.905615,0.594385,0.905615
0.075,0.025,0.587161,0.912839,0.587161,0.912839
0.085,0.025,0.580205,0.919795,0.580205,0.919795
0.095,0.025,0.573554,0.926446,0.573554,0.926446
0.105,0.025,0.567235,0.932765,0.567235,0.932765
0.115,0.025,0.561271,0.938729,0.561271,0.938729
0.125,0.025,0.555675,0.944325,0.555675,0.944325
0.135,0.025,0.550453,0.949547,0.550453,0.949547
0.145,0.025,0.545606,0.954394,0.545606,0.954394
0.155,0.025,0.541129,0.958871,0.541129,0.958871
0.165,0.025,0.537012,0.962988,0.537012,0.962988
0.175,0.025,0.533241,0.966759,0.533241,0.966759
0.185,0.025,0.529801,0.970199,0.529801,0.970199
0.195,0.025,0.526673,0.973327,0.526673,0.973327
0.205,0.025,0.523837,0.976163,0.523837,0.976163
0.215,0.025,0.521275,0.978725,0.521275,0.978725
0.225,0.025,0.518965,0.981035,0.518965,0.981035
0.235,0.025,0.516887,0.983113,0.516887,0.983113
0.245,0.025,0.515022,0.984978,0.515022,0.984978
