X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.500045,0.999955,0.500045,0.999955
0.015,0.005,0.50004,0.99996,0.50004,0.99996
0.025,0.005,0.500035,0.999965,0.500035,0.999965
0.035,0.005,0.500031,0.999969,0.500031,0.999969
0.045,0.005,0.500027,0.999973,0.500027,0.999973
0.055,0.005,0.500024,0.999976,0.500024,0.999976
0.065,0.005,0.500021,0.999979,0.500021,0.999979
0.075,0.005,0.500019,0.999981,0.500019,0.999981
0.085,0.005,0.500017,0.999983,0.500017,0.999983
0.095,0.005,0.500015,0.999985,0.500015,0.999985
0.105,0.005,0.500013,0.999987,0.500013,0.999987
0.115,0.005,0.500011,0.999989,0.500011,0.999989
0.125,0.005,0.50001,0.99999,0.50001,0.99999
0.135,0.005,0.500009,0.999991,0.500009,0.999991
0.145,0.005,0.500008,0.999992,0.500008,0.999992
0.155,0.005,0.500007,0.999993,0.500007,0.999993
0.165,0.005,0.500006,0.999994,0.500006,0.999994
0.175,0.005,0.500005,0.999995,0.500005,0.999995
0.185,0.005,0.500005,0.999995,0.500005,0.999995
0.195,0.005,0.500004,0.999996,0.500004,0.999996
0.205,0.005,0.500004,0.999996,0.500004,0.999996
0.215,0.005,0.500003,0.999997,0.500003,0.999997
0.225,0.005,0.500003,0.999997,0.500003,0.999997
0.235,0.005,0.500003,0.999997,0.500003,0.999997
0.245,0.005,0.500002,0.999998,0.500002,0.999998
0.255,0.005,0.500002,0.999998,0.500002,0.999998
0.265,0.005,0.500002,0.999998,0.500002,0.999998
0.275,0.005,0.500002,0.999998,0.500002,0.999998
0.285,0.005,0.500001,0.999999,0.500001,0.999999
0.295,0.005,0.500001,0.999999,0.500001,0.999999
0.305,0.005,0.500001,0.999999,0.500001,0.999999
0.315,0.005,0.500001,0.999999,0.500001,0.999999
0.325,0.005,0.500001,0.999999,0.500001,0.999999
0.005,0.015,0.500051,0.999949,0.500051,0.999949
0.015,0.015,0.500045,0.999955,0.500045,0.999955
0.025,0.015,0.50004,0.99996,0.50004,0.99996
0.035,0.015,0.500035,0.999965,0.500035,0.999965
0.045,0.015,0.500031,0.999969,0.500031,0.999969
0.055,0.015,0.500027,0.999973,0.500027,0.999973
0.065,0.015,0.500024,0.999976,0.500024,0.999976
0.075,0.015,0.500021,0.999979,0.500021,0.999979
0.085,0.015,0.500019,0.999981,0.500019,0.999981
0.095,0.015,0.500017,0.999983,0.500017,0.999983
0.105,0.015,0.500015,0.999985,0.500015,0.999985
0.115,0.015,0.500013,0.999987,0.500013,0.999987
0.125,0.015,0.500011,0.999989,0.500011,0.999989
0.135,0.015,0.50001,0.99999,0.50001,0.99999
0.145,0.015,0.500009,0.999991,0.500009,0.999991
0.155,0.015,0.500008,0.999992,0.500008,0.999992
0.165,0.015,0.500007,0.999993,0.500007,0.999993
0.175,0.015,0.500006,0.999994,0.500006,0.999994
0.185,0.015,0.500005,0.999995,0.500005,0.999995
0.195,0.015,0.500005,0.999995,0.500005,0.999995
0.205,0.015,0.500004,0.999996,0.500004,0.999996
0.215,0.015,0.500004,0.999996,0.500004,0.999996
0.225,0.015,0.500003,0.999997,0.500003,0.999997
0.235,0.015,0.500003,0.999997,0.500003,0.999997
0.245,0.015,0.500003,0.999997,0.500003,0.999997
0.255,0.015,0.500002,0.999998,0.500002,0.999998
0.265,0.015,0.500002,0.999998,0.500002,0.999998
0.275,0.015,0.500002,0.999998,0.500002,0.999998
0.285,0.015,0.500002,0.999998,0.500002,0.999998
0.295,0.015,0.500001,0.999999,0.500001,0.999999
0.305,0.015,0.500001,0.999999,0.500001,0.999999
0.315,0.015,0.500001,0.999999,0.500001,0.999999
0.325,0.015,0.500001,0.999999,0.500001,0.999999
0.005,0.025,0.500058,0.999942,0.500058,0.999942
0.015,0.025,0.500051,0.999949,0.500051,0.999949
0.025,0.025,0.500045,0.999955,0.500045,0.999955
0.035,0.025,0.50004,0.99996,0.50004,0.99996
0.045,0.025,0.500035,0.999965,0.500035,0.999965
0.055,0.025,0.500031,0.999969,0.500031,0.999969
0.065,0.025,0.500027,0.999973,0.500027,0.999973
0.075,0.025,0.500024,0.999976,0.500024,0.999976
0.085,0.025,0.500021,0.999979,0.500021,0.999979
0.095,0.025,0.500019,0.999981,0.500019,0.999981
0.105,0.025,0.500017,0.999983,0.500017,0.999983
0.115,0.025,0.500015,0.999985,0.500015,0.999985
0.125,0.025,0.500013,0.999987,0.500013,0.999987
0.135,0.025,0.500011,0.999989,0.500011,0.999989
0.145,0.025,0.50001,0.99999,0.50001,0.99999
0.155,0.025,0.500009,0.999991,0.500009,0.999991
0.165,0.025,0.500008,0.999992,0.500008,0.999992
0.175,0.025,0.500007,0.999993,0.500007,0.999993
0.185,0.025,0.500006,0.999994,0.500006,0.999994
0.195,0.025,0.500005,0.999995,0.500005,0.999995
0.205,0.025,0.500005,0.999995,0.500005,0.999995
0.215,0.025,0.500004,0.999996,0.500004,0.999996
0.225,0.025,0.500004,0.999996,0.500004,0.999996
0.235,0.025,0.500003,0.999997,0.500003,0.999997
0.245,0.025,0.500003,0.999997,0.500003,0.999997
0.255,0.025,0.500003,0.999997,0.500003,0.999997
0.265,0.025,0.500002,0.999998,0.500002,0.999998
0.275,0.025,0.500002,0.999998,0.500002,0.999998
0.285,0.025,0.500002,0.999998,0.500002,0.999998
0.295,0.025,0.500002,0.999998,0.500002,0.999998
0.305,0.025,0.500001,0.999999,0.500001,0.999999
0.315,0.025,0.500001,0.999999,0.500001,0.999999
0.325,0.025,0.500001,0.999999,0.500001,0.999999
0.005,0.035,0.500065,0.999935,0.500065,0.999935
0.015,0.035,0.500058,0.999942,0.500058,0.999942
0.025,0.035,0.500051,0.999949,0.500051,0.999949
0.035,0.035,0.500045,0.999955,0.500045,0.999955
0.045,0.035,0.50004,0.99996,0.50004,0.99996
0.055,0.035,0.500035,0.999965,0.500035,0.999965
0.065,0.035,0.500031,0.999969,0.500031,0.999969
0.075,0.035,0.500027,0.999973,0.500027,0.999973
0.085,0.035,0.500024,0.999976,0.500024,0.999976
0.095,0.035,0.500021,0.999979,0.500021,0.999979
0.105,0.035,0.500019,0.999981,0.500019,0.999981
0.115,0.035,0.500017,0.999983,0.500017,0.999983
0.125,0.035,0.500015,0.999985,0.500015,0.999985
0.135,0.035,0.500013,0.999987,0.500013,0.999987
0.145,0.035,0.500011,0.999989,0.500011,0.999989
0.155,0.035,0.50001,0.99999,0.50001,0.99999
0.165,0.035,0.500009,0.999991,0.500009,0.999991
0.175,0.035,0.500008,0.999992,0.500008,0.999992
0.185,0.035,0.500007,0.999993,0.500007,0.999993
0.195,0.035,0.500006,0.999994,0.500006,0.999994
0.205,0.035,0.500005,0.999995,0.500005,0.999995
0.215,0.035,0.500005,0.999995,0.500005,0.999995
0.225,0.035,0.500004,0.999996,0.500004,0.999996
0.235,0.035,0.500004,0.999996,0.500004,0.999996
0.245,0.035,0.500003,0.999997,0.500003,0.999997
0.255,0.035,0.500003,0.999997,0.500003,0.999997
0.265,0.035,0.500003,0.999997,0.500003,0.999997
0.275,0.035,0.500002,0.999998,0.500002,0.999998
0.285,0.035,0.500002,0.999998,0.500002,0.999998
0.295,0.035,0.500002,0.999998,0.500002,0.999998
0.305,0.035,0.500002,0.999998,0.500002,0.999998
0.315,0.035,0.500001,0.999999,0.500001,0.999999
0.325,0.035,0.500001,0.999999,0.500001,0.999999
0.005,0.045,0.500074,0.999926,0.500074,0.999926
0.015,0.045,0.500065,0.999935,0.500065,0.999935
0.025,0.045,0.500058,0.999942,0.500058,0.999942
0.035,0.045,0.500051,0.999949,0.500051,0.999949
0.045,0.045,0.500045,0.999955,0.500045,0.999955
0.055,0.045,0.50004,0.99996,0.50004,0.99996
0.065,0.045,0.500035,0.999965,0.500035,0.999965
0.075,0.045,0.500031,0.999969,0.500031,0.999969
0.085,0.045,0.500027,0.999973,0.500027,0.999973
0.095,0.045,0.500024,0.999976,0.500024,0.999976
0.105,0.045,0.500021,0.999979,0.500021,0.999979
0.115,0.045,0.500019,0.999981,0.500019,0.999981
0.125,0.045,0.500017,0.999983,0.500017,0.999983
0.135,0.045,0.500015,0.999985,0.500015,0.999985
0.145,0.045,0.500013,0.999987,0.500013,0.999987
0.155,0.045,0.500011,0.999989,0.500011,0.999989
0.165,0.045,0.50001,0.99999,0.50001,0.99999
0.175,0.045,0.500009,0.999991,0.500009,0.999991
0.185,0.045,0.500008,0.999992,0.500008,0.999992
0.195,0.045,0.500007,0.999993,0.500007,0.999993
0.205,0.045,0.500006,0.999994,0.500006,0.999994
0.215,0.045,0.500005,0.999995,0.500005,0.999995
0.225,0.045,0.500005,0.999995,0.500005,0.999995
0.235,0.045,0.500004,0.999996,0.500004,0.999996
0.245,0.045,0.500004,0.999996,0.500004,0.999996
0.255,0.045,0.500003,0.999997,0.500003,0.999997
0.265,0.045,0.500003,0.999997,0.500003,0.999997
0.275,0.045,0.500003,0.999997,0.500003,0.999997
0.285,0.045,0.500002,0.999998,0.500002,0.999998
0.295,0.045,0.500002,0.999998,0.500002,0.999998
0.305,0.045,0.500002,0.999998,0.500002,0.999998
0.315,0.045,0.500002,0.999998,0.500002,0.999998
0.325,0.045,0.500001,0.999999,0.500001,0.999999
0.005,0.055,0.500084,0.999916,0.500084,0.999916
0.015,0.055,0.500074,0.999926,0.500074,0.999926
0.025,0.055,0.500065,0.999935,0.500065,0.999935
0.035,0.055,0.500058,0.999942,0.500058,0.999942
0.045,0.055,0.500051,0.999949,0.500051,0.999949
0.055,0.055,0.500045,0.999955,0.500045,0.999955
0.065,0.055,0.50004,0.99996,0.50004,0.99996
0.075,0.055,0.500035,0.999965,0.500035,0.999965
0.085,0.055,0.500031,0.999969,0.500031,0.999969
0.095,0.055,0.500027,0.999973,0.500027,0.999973
0.105,0.055,0.500024,0.999976,0.500024,0.999976
0.115,0.055,0.500021,0.999979,0.500021,0.999979
0.125,0.055,0.500019,0.999981,0.500019,0.999981
0.135,0.055,0.500017,0.999983,0.500017,0.999983
0.145,0.055,0.500015,0.999985,0.500015,0.999985
0.155,0.055,0.500013,0.999987,0.500013,0.999987
0.165,0.055,0.500011,0.999989,0.500011,0.999989
0.175,0.055,0.50001,0.99999,0.50001,0.99999
0.185,0.055,0.500009,0.999991,0.500009,0.999991
0.195,0.055,0.500008,0.999992,0.500008,0.999992
0.205,0.055,0.500007,0.999993,0.500007,0.999993
0.215,0.055,0.500006,0.999994,0.500006,0.999994
0.225,0.055,0.500005,0.999995,0.500005,0.999995
0.235,0.055,0.500005,0.999995,0.500005,0.999995
0.245,0.055,0.500004,0.999996,0.500004,0.999996
0.255,0.055,0.500004,0.999996,0.500004,0.999996
0.265,0.055,0.500003,0.999997,0.500003,0.999997
0.275,0.055,0.500003,0.999997,0.500003,0.999997
0.285,0.055,0.500003,0.999997,0.500003,0.999997
0.295,0.055,0.500002,0.999998,0.500002,0.999998
0.305,0.055,0.500002,0.999998,0.500002,0.999998
0.315,0.055,0.500002,0.999998,0.500002,0.999998
0.325,0.055,0.500002,0.999998,0.500002,0.999998
0.005,0.065,0.500095,0.999905,0.500095,0.999905
0.015,0.065,0.500084,0.999916,0.500084,0.999916
0.025,0.065,0.500074,0.999926,0.500074,0.999926
0.035,0.065,0.500065,0.999935,0.500065,0.999935
0.045,0.065,0.500058,0.999942,0.500058,0.999942
0.055,0.065,0.500051,0.999949,0.500051,0.999949
0.065,0.065,0.500045,0.999955,0.500045,0.999955
0.075,0.065,0.50004,0.99996,0.50004,0.99996
0.085,0.065,0.500035,0.999965,0.500035,0.999965
0.095,0.065,0.500031,0.999969,0.500031,0.999969
0.105,0.065,0.500027,0.999973,0.500027,0.999973
0.115,0.065,0.500024,0.999976,0.500024,0.999976
0.125,0.065,0.500021,0.999979,0.500021,0.999979
0.135,0.065,0.500019,0.999981,0.500019,0.999981
0.145,0.065,0.500016,0.999984,0.500017,0.999983
0.155,0.065,0.500015,0.999985,0.500015,0.999985
0.165,0.065,0.500013,0.999987,0.500013,0.999987
0.175,0.065,0.500011,0.999989,0.500011,0.999989
0.185,0.065,0.50001,0.99999,0.50001,0.99999
0.195,0.065,0.500009,0.999991,0.500009,0.999991
0.205,0.065,0.500008,0.999992,0.500008,0.999992
0.215,0.065,0.500007,0.999993,0.500007,0.999993
0.225,0.065,0.500006,0.999994,0.500006,0.999994
0.235,0.065,0.500005,0.999995,0.500005,0.999995
0.245,0.065,0.500005,0.999995,0.500005,0.999995
0.255,0.065,0.500004,0.999996,0.500004,0.999996
0.265,0.065,0.500004,0.999996,0.500004,0.999996
0.275,0.065,0.500003,0.999997,0.500003,0.999997
