X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.500026,0.999974,0.500026,0.999974
0.015,0.005,0.500023,0.999977,0.500023,0.999977
0.025,0.005,0.50002,0.99998,0.50002,0.99998
0.035,0.005,0.500018,0.999982,0.500018,0.999982
0.045,0.005,0.500016,0.999984,0.500016,0.999984
0.055,0.005,0.500014,0.999986,0.500014,0.999986
0.065,0.005,0.500012,0.999988,0.500012,0.999988
0.075,0.005,0.500011,0.999989,0.500011,0.999989
0.085,0.005,0.500009,0.999991,0.500009,0.999991
0.095,0.005,0.500008,0.999992,0.500008,0.999992
0.105,0.005,0.500007,0.999993,0.500007,0.999993
0.115,0.005,0.500006,0.999994,0.500006,0.999994
0.125,0.005,0.500006,0.999994,0.500006,0.999994
0.135,0.005,0.500005,0.999995,0.500005,0.999995
0.145,0.005,0.500004,0.999996,0.500004,0.999996
0.155,0.005,0.500004,0.999996,0.500004,0.999996
0.165,0.005,0.500003,0.999997,0.500003,0.999997
0.175,0.005,0.500003,0.999997,0.500003,0.999997
0.185,0.005,0.500003,0.999997,0.500003,0.999997
0.195,0.005,0.500002,0.999998,0.500002,0.999998
0.205,0.005,0.500002,0.999998,0.500002,0.999998
0.215,0.005,0.500002,0.999998,0.500002,0.999998
0.225,0.005,0.500002,0.999998,0.500002,0.999998
0.235,0.005,0.500001,0.999999,0.500001,0.999999
0.245,0.005,0.500001,0.999999,0.500001,0.999999
0.255,0.005,0.500001,0.999999,0.500001,0.999999
0.265,0.005,0.500001,0.999999,0.500001,0.999999
0.275,0.005,0.500001,0.999999,0.500001,0.999999
0.285,0.005,0.500001,0.999999,0.500001,0.999999
0.295,0.005,0.500001,0.999999,0.500001,0.999999
0.305,0.005,0.500001,0.999999,0.500001,0.999999
0.315,0.005,0.500001,0.999999,0.500001,0.999999
0.325,0.005,0.5,1,0.5,1
0.005,0.015,0.500029,0.999971,0.500029,0.999971
0.015,0.015,0.500026,0.999974,0.500026,0.999974
0.025,0.015,0.500023,0.999977,0.500023,0.999977
0.035,0.015,0.50002,0.99998,0.50002,0.99998
0.045,0.015,0.500018,0.999982,0.500018,0.999982
0.055,0.015,0.500016,0.999984,0.500016,0.999984
0.065,0.015,0.500014,0.999986,0.500014,0.999986
0.075,0.015,0.500012,0.999988,0.500012,0.999988
0.085,0.015,0.500011,0.999989,0.500011,0.999989
0.095,0.015,0.500009,0.999991,0.500009,0.999991
0.105,0.015,0.500008,0.999992,0.500008,0.999992
0.115,0.015,0.500007,0.999993,0.500007,0.999993
0.125,0.015,0.500006,0.999994,0.500006,0.999994
0.135,0.015,0.500006,0.999994,0.500006,0.999994
0.145,0.015,0.500005,0.999995,0.500005,0.999995
0.155,0.015,0.500004,0.999996,0.500004,0.999996
0.165,0.015,0.500004,0.999996,0.500004,0.999996
0.175,0.015,0.500003,0.999997,0.500003,0.999997
0.185,0.015,0.500003,0.999997,0.500003,0.999997
0.195,0.015,0.500003,0.999997,0.500003,0.999997
0.205,0.015,0.500002,0.999998,0.500002,0.999998
0.215,0.015,0.500002,0.999998,0.500002,0.999998
0.225,0.015,0.500002,0.999998,0.500002,0.999998
0.235,0.015,0.500002,0.999998,0.500002,0.999998
0.245,0.015,0.500001,0.999999,0.500001,0.999999
0.255,0.015,0.500001,0.999999,0.500001,0.999999
0.265,0.015,0.500001,0.999999,0.500001,0.999999
0.275,0.015,0.500001,0.999999,0.500001,0.999999
0.285,0.015,0.500001,0.999999,0.500001,0.999999
0.295,0.015,0.500001,0.999999,0.500001,0.999999
0.305,0.015,0.500001,0.999999,0.500001,0.999999
0.315,0.015,0.500001,0.999999,0.500001,0.999999
0.325,0.015,0.500001,0.999999,0.500001,0.999999
0.005,0.025,0.500033,0.999967,0.500033,0.999967
0.015,0.025,0.500029,0.999971,0.500029,0.999971
0.025,0.025,0.500026,0.999974,0.500026,0.999974
0.035,0.025,0.500023,0.999977,0.500023,0.999977
0.045,0.025,0.50002,0.99998,0.50002,0.99998
0.055,0.025,0.500018,0.999982,0.500018,0.999982
0.065,0.025,0.500016,0.999984,0.500016,0.999984
0.075,0.025,0.500014,0.999986,0.500014,0.999986
0.085,0.025,0.500012,0.999988,0.500012,0.999988
0.095,0.025,0.500011,0.999989,0.500011,0.999989
0.105,0.025,0.500009,0.999991,0.500009,0.999991
0.115,0.025,0.500008,0.999992,0.500008,0.999992
0.125,0.025,0.500007,0.999993,0.500007,0.999993
0.135,0.025,0.500006,0.999994,0.500006,0.999994
0.145,0.025,0.500006,0.999994,0.500006,0.999994
0.155,0.025,0.500005,0.999995,0.500005,0.999995
0.165,0.025,0.500004,0.999996,0.500004,0.999996
0.175,0.025,0.500004,0.999996,0.500004,0.999996
0.185,0.025,0.500003,0.999997,0.500003,0.999997
0.195,0.025,0.500003,0.999997,0.500003,0.999997
0.205,0.025,0.500003,0.999997,0.500003,0.999997
0.215,0.025,0.500002,0.999998,0.500002,0.999998
0.225,0.025,0.500002,0.999998,0.500002,0.999998
0.235,0.025,0.500002,0.999998,0.500002,0.999998
0.245,0.025,0.500002,0.999998,0.500002,0.999998
0.255,0.025,0.500001,0.999999,0.500001,0.999999
0.265,0.025,0.500001,0.999999,0.500001,0.999999
0.275,0.025,0.500001,0.999999,0.500001,0.999999
0.285,0.025,0.500001,0.999999,0.500001,0.999999
0.295,0.025,0.500001,0.999999,0.500001,0.999999
0.305,0.025,0.500001,0.999999,0.500001,0.999999
0.315,0.025,0.500001,0.999999,0.500001,0.999999
0.325,0.025,0.500001,0.999999,0.500001,0.999999
0.005,0.035,0.500037,0.999963,0.500037,0.999963
0.015,0.035,0.500033,0.999967,0.500033,0.999967
0.025,0.035,0.500029,0.999971,0.500029,0.999971
0.035,0.035,0.500026,0.999974,0.500026,0.999974
0.045,0.035,0.500023,0.999977,0.500023,0.999977
0.055,0.035,0.50002,0.99998,0.50002,0.99998
0.065,0.035,0.500018,0.999982,0.500018,0.999982
0.075,0.035,0.500016,0.999984,0.500016,0.999984
0.085,0.035,0.500014,0.999986,0.500014,0.999986
0.095,0.035,0.500012,0.999988,0.500012,0.999988
0.105,0.035,0.500011,0.999989,0.500011,0.999989
0.115,0.035,0.500009,0.999991,0.500009,0.999991
0.125,0.035,0.500008,0.999992,0.500008,0.999992
0.135,0.035,0.500007,0.999993,0.500007,0.999993
0.145,0.035,0.500006,0.999994,0.500006,0.999994
0.155,0.035,0.500006,0.999994,0.500006,0.999994
0.165,0.035,0.500005,0.999995,0.500005,0.999995
0.175,0.035,0.500004,0.999996,0.500004,0.999996
0.185,0.035,0.500004,0.999996,0.500004,0.999996
0.195,0.035,0.500003,0.999997,0.500003,0.999997
0.205,0.035,0.500003,0.999997,0.500003,0.999997
0.215,0.035,0.500003,0.999997,0.500003,0.999997
0.225,0.035,0.500002,0.999998,0.500002,0.999998
0.235,0.035,0.500002,0.999998,0.500002,0.999998
0.245,0.035,0.500002,0.999998,0.500002,0.999998
0.255,0.035,0.500002,0.999998,0.500002,0.999998
0.265,0.035,0.500001,0.999999,0.500001,0.999999
0.275,0.035,0.500001,0.999999,0.500001,0.999999
0.285,0.035,0.500001,0.999999,0.500001,0.999999
0.295,0.035,0.500001,0.999999,0.500001,0.999999
0.305,0.035,0.500001,0.999999,0.500001,0.999999
0.315,0.035,0.500001,0.999999,0.500001,0.999999
0.325,0.035,0.500001,0.999999,0.500001,0.999999
0.005,0.045,0.500042,0.999958,0.500042,0.999958
0.015,0.045,0.500037,0.999963,0.500037,0.999963
0.025,0.045,0.500033,0.999967,0.500033,0.999967
0.035,0.045,0.500029,0.999971,0.500029,0.999971
0.045,0.045,0.500026,0.999974,0.500026,0.999974
0.055,0.045,0.500023,0.999977,0.500023,0.999977
0.065,0.045,0.50002,0.99998,0.50002,0.99998
0.075,0.045,0.500018,0.999982,0.500018,0.999982
0.085,0.045,0.500016,0.999984,0.500016,0.999984
0.095,0.045,0.500014,0.999986,0.500014,0.999986
0.105,0.045,0.500012,0.999988,0.500012,0.999988
0.115,0.045,0.500011,0.999989,0.500011,0.999989
0.125,0.045,0.500009,0.999991,0.500009,0.999991
0.135,0.045,0.500008,0.999992,0.500008,0.999992
0.145,0.045,0.500007,0.999993,0.500007,0.999993
0.155,0.045,0.500006,0.999994,0.500006,0.999994
0.165,0.045,0.500006,0.999994,0.500006,0.999994
0.175,0.045,0.500005,0.999995,0.500005,0.999995
0.185,0.045,0.500004,0.999996,0.500004,0.999996
0.195,0.045,0.500004,0.999996,0.500004,0.999996
0.205,0.045,0.500003,0.999997,0.500003,0.999997
0.215,0.045,0.500003,0.999997,0.500003,0.999997
0.225,0.045,0.500003,0.999997,0.500003,0.999997
0.235,0.045,0.500002,0.999998,0.500002,0.999998
0.245,0.045,0.500002,0.999998,0.500002,0.999998
0.255,0.045,0.500002,0.999998,0.500002,0.999998
0.265,0.045,0.500002,0.999998,0.500002,0.999998
0.275,0.045,0.500001,0.999999,0.500001,0.999999
0.285,0.045,0.500001,0.999999,0.500001,0.999999
0.295,0.045,0.500001,0.999999,0.500001,0.999999
0.305,0.045,0.500001,0.999999,0.500001,0.999999
0.315,0.045,0.500001,0.999999,0.500001,0.999999
0.325,0.045,0.500001,0.999999,0.500001,0.999999
0.005,0.055,0.500048,0.999952,0.500048,0.999952
0.015,0.055,0.500042,0.999958,0.500042,0.999958
0.025,0.055,0.500037,0.999963,0.500037,0.999963
0.035,0.055,0.500033,0.999967,0.500033,0.999967
0.045,0.055,0.500029,0.999971,0.500029,0.999971
0.055,0.055,0.500026,0.999974,0.500026,0.999974
0.065,0.055,0.500023,0.999977,0.500023,0.999977
0.075,0.055,0.50002,0.99998,0.50002,0.99998
0.085,0.055,0.500018,0.999982,0.500018,0.999982
0.095,0.055,0.500016,0.999984,0.500016,0.999984
0.105,0.055,0.500014,0.999986,0.500014,0.999986
0.115,0.055,0.500012,0.999988,0.500012,0.999988
0.125,0.055,0.500011,0.999989,0.500011,0.999989
0.135,0.055,0.500009,0.999991,0.500009,0.999991
0.145,0.055,0.500008,0.999992,0.500008,0.999992
0.155,0.055,0.500007,0.999993,0.500007,0.999993
0.165,0.055,0.500006,0.999994,0.500006,0.999994
0.175,0.055,0.500006,0.999994,0.500006,0.999994
0.185,0.055,0.500005,0.999995,0.500005,0.999995
0.195,0.055,0.500004,0.999996,0.500004,0.999996
0.205,0.055,0.500004,0.999996,0.500004,0.999996
0.215,0.055,0.500003,0.999997,0.500003,0.999997
0.225,0.055,0.500003,0.999997,0.500003,0.999997
0.235,0.055,0.500003,0.999997,0.500003,0.999997
0.245,0.055,0.500002,0.999998,0.500002,0.999998
0.255,0.055,0.500002,0.999998,0.500002,0.999998
0.265,0.055,0.500002,0.999998,0.500002,0.999998
0.275,0.055,0.500002,0.999998,0.500002,0.999998
0.285,0.055,0.500001,0.999999,0.500001,0.999999
0.295,0.055,0.500001,0.999999,0.500001,0.999999
0.305,0.055,0.500001,0.999999,0.500001,0.999999
0.315,0.055,0.500001,0.999999,0.500001,0.999999
0.325,0.055,0.500001,0.999999,0.500001,0.999999
0.005,0.065,0.500054,0.999946,0.500054,0.999946
0.015,0.065,0.500048,0.999952,0.500048,0.999952
0.025,0.065,0.500042,0.999958,0.500042,0.999958
0.035,0.065,0.500037,0.999963,0.500037,0.999963
0.045,0.065,0.500033,0.999967,0.500033,0.999967
0.055,0.065,0.500029,0.999971,0.500029,0.999971
0.065,0.065,0.500026,0.999974,0.500026,0.999974
0.075,0.065,0.500023,0.999977,0.500023,0.999977
0.085,0.065,0.50002,0.99998,0.50002,0.99998
0.095,0.065,0.500018,0.999982,0.500018,0.999982
0.105,0.065,0.500016,0.999984,0.500016,0.999984
0.115,0.065,0.500014,0.999986,0.500014,0.999986
0.125,0.065,0.500012,0.999988,0.500012,0.999988
0.135,0.065,0.500011,0.999989,0.500011,0.999989
0.145,0.065,0.500009,0.999991,0.500009,0.999991
0.155,0.065,0.500008,0.999992,0.500008,0.999992
0.165,0.065,0.500007,0.999993,0.500007,0.999993
0.175,0.065,0.500006,0.999994,0.500006,0.999994
0.185,0.065,0.500006,0.999994,0.500006,0.999994
0.195,0.065,0.500005,0.999995,0.500005,0.999995
0.205,0.065,0.500004,0.999996,0.500004,0.999996
0.215,0.065,0.500004,0.999996,0.500004,0.999996
0.225,0.065,0.500003,0.999997,0.500003,0.999997
0.235,0.065,0.500003,0.999997,0.500003,0.999997
0.245,0.065,0.500003,0.999997,0.500003,0.999997
0.255,0.065,0.500002,0.999998,0.500002,0.999998
0.265,0.065,0.500002,0.999998,0.500002,0.999998
0.275,0.065,0.500002,0.999998,0.500002,0.999998
0.285,0.065,0.500002,0.999998,0.500002,0.999998
0.295,0.065,0.500001,0.999999,0.500001,0.999999
0.305,0.065,0.500001,0.999999,0.500001,0.999999
0.315,0.065,0.500001,0.999999,0.500001,0.999999
0.325,0.065,0.500001,0.999999,0.500001,0.999999
0.005,0.075,0.500061,0.999939,0.500061,0.999939
0.015,0.075,0.500054,0.999946,0.500054,0.999946
0.025,0.075,0.500048,0.999952,0.500048,0.999952
0.035,0.075,0.500042,0.999958,0.500042,0.999958
0.045,0.075,0.500037,0.999963,0.500037,0.999963
0.055,0.075,0.500033,0.999967,0.500033,0.999967
0.065,0.075,0.500029,0.999971,0.500029,0.999971
0.075,0.075,0.500026,0.999974,0.500026,0.999974
0.085,0.075,0.500023,0.999977,0.500023,0.999977
0.095,0.075,0.50002,0.99998,0.50002,0.99998
0.105,0.075,0.500018,0.999982,0.500018,0.999982
0.115,0.075,0.500015,0.999985,0.500016,0.999984
