X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.553017,0.946983,0.553017,0.946983
0.015,0.005,0.547983,0.952017,0.547983,0.952017
0.025,0.005,0.543322,0.956678,0.543322,0.956678
0.035,0.005,0.539026,0.960974,0.539026,0.960974
0.045,0.005,0.535084,0.964916,0.535084,0.964916
0.055,0.005,0.531481,0.968519,0.531481,0.968519
0.065,0.005,0.528199,0.971801,0.528199,0.971801
0.075,0.005,0.52522,0.97478,0.52522,0.97478
0.085,0.005,0.522523,0.977477,0.522523,0.977477
0.095,0.005,0.520089,0.979911,0.520089,0.979911
0.105,0.005,0.517898,0.982102,0.517898,0.982102
0.115,0.005,0.515929,0.984071,0.515929,0.984071
0.125,0.005,0.514163,0.985837,0.514163,0.985837
0.135,0.005,0.512583,0.987417,0.512583,0.987417
0.145,0.005,0.51117,0.98883,0.51117,0.98883
0.155,0.005,0.50991,0.99009,0.50991,0.99009
0.165,0.005,0.508786,0.991214,0.508786,0.991214
0.175,0.005,0.507786,0.992214,0.507786,0.992214
0.185,0.005,0.506896,0.993104,0.506896,0.993104
0.195,0.005,0.506106,0.993894,0.506106,0.993894
0.205,0.005,0.505404,0.994596,0.505404,0.994596
0.215,0.005,0.504781,0.995219,0.504781,0.995219
0.225,0.005,0.504229,0.995771,0.504229,0.995771
0.235,0.005,0.503739,0.996261,0.503739,0.996261
0.245,0.005,0.503306,0.996694,0.503306,0.996694
0.255,0.005,0.502922,0.997078,0.502922,0.997078
0.265,0.005,0.502582,0.997418,0.502582,0.997418
0.275,0.005,0.502281,0.997719,0.502281,0.997719
0.285,0.005,0.502015,0.997985,0.502015,0.997985
0.295,0.005,0.50178,0.99822,0.50178,0.99822
0.305,0.005,0.501572,0.998428,0.501572,0.998428
0.315,0.005,0.501389,0.998611,0.501389,0.998611
0.325,0.005,0.501226,0.998774,0.501226,0.998774
0.005,0.015,0.558427,0.941573,0.558427,0.941573
0.015,0.015,0.553019,0.946981,0.553017,0.946983
0.025,0.015,0.547984,0.952016,0.547983,0.952017
0.035,0.015,0.543323,0.956677,0.543322,0.956678
0.045,0.015,0.539027,0.960973,0.539026,0.960974
0.055,0.015,0.535084,0.964916,0.535084,0.964916
0.065,0.015,0.531481,0.968519,0.531481,0.968519
0.075,0.015,0.528199,0.971801,0.528199,0.971801
0.085,0.015,0.525219,0.974781,0.52522,0.97478
0.095,0.015,0.522523,0.977477,0.522523,0.977477
0.105,0.015,0.520089,0.979911,0.520089,0.979911
0.115,0.015,0.517897,0.982103,0.517898,0.982102
0.125,0.015,0.515928,0.984072,0.515929,0.984071
0.135,0.015,0.514162,0.985838,0.514163,0.985837
0.145,0.015,0.512582,0.987418,0.512583,0.987417
0.155,0.015,0.511169,0.988831,0.51117,0.98883
0.165,0.015,0.509909,0.990091,0.50991,0.99009
0.175,0.015,0.508786,0.991214,0.508786,0.991214
0.185,0.015,0.507785,0.992215,0.507786,0.992214
0.195,0.015,0.506896,0.993104,0.506896,0.993104
0.205,0.015,0.506105,0.993895,0.506106,0.993894
0.215,0.015,0.505403,0.994597,0.505404,0.994596
0.225,0.015,0.504781,0.995219,0.504781,0.995219
0.235,0.015,0.504228,0.995772,0.504229,0.995771
0.245,0.015,0.503739,0.996261,0.503739,0.996261
0.255,0.015,0.503305,0.996695,0.503306,0.996694
0.265,0.015,0.502921,0.997079,0.502922,0.997078
0.275,0.015,0.502582,0.997418,0.502582,0.997418
0.285,0.015,0.502281,0.997719,0.502281,0.997719
0.295,0.015,0.502015,0.997985,0.502015,0.997985
0.305,0.015,0.50178,0.99822,0.50178,0.99822
0.315,0.015,0.501572,0.998428,0.501572,0.998428
0.325,0.015,0.501389,0.998611,0.501389,0.998611
0.005,0.025,0.564208,0.935792,0.564208,0.935792
0.015,0.025,0.558428,0.941572,0.558427,0.941573
0.025,0.025,0.553018,0.946982,0.553017,0.946983
0.035,0.025,0.547984,0.952016,0.547983,0.952017
0.045,0.025,0.543322,0.956678,0.543322,0.956678
0.055,0.025,0.539026,0.960974,0.539026,0.960974
0.065,0.025,0.535083,0.964917,0.535084,0.964916
0.075,0.025,0.531479,0.968521,0.531481,0.968519
0.085,0.025,0.528197,0.971803,0.528199,0.971801
0.095,0.025,0.525218,0.974782,0.52522,0.97478
0.105,0.025,0.522521,0.977479,0.522523,0.977477
0.115,0.025,0.520087,0.979913,0.520089,0.979911
0.125,0.025,0.517896,0.982104,0.517898,0.982102
0.135,0.025,0.515927,0.984073,0.515929,0.984071
0.145,0.025,0.514161,0.985839,0.514163,0.985837
0.155,0.025,0.512581,0.987419,0.512583,0.987417
0.165,0.025,0.511168,0.988832,0.51117,0.98883
0.175,0.025,0.509908,0.990092,0.50991,0.99009
0.185,0.025,0.508785,0.991215,0.508786,0.991214
0.195,0.025,0.507784,0.992216,0.507786,0.992214
0.205,0.025,0.506895,0.993105,0.506896,0.993104
0.215,0.025,0.506104,0.993896,0.506106,0.993894
