X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.511856,0.988144,0.511856,0.988144
0.015,0.005,0.510522,0.989478,0.510522,0.989478
0.025,0.005,0.509332,0.990668,0.509332,0.990668
0.035,0.005,0.508271,0.991729,0.508271,0.991729
0.045,0.005,0.507328,0.992672,0.507328,0.992672
0.055,0.005,0.506489,0.993511,0.506489,0.993511
0.065,0.005,0.505744,0.994256,0.505744,0.994256
0.075,0.005,0.505083,0.994917,0.505083,0.994917
0.085,0.005,0.504497,0.995503,0.504497,0.995503
0.095,0.005,0.503977,0.996023,0.503977,0.996023
0.105,0.005,0.503516,0.996484,0.503516,0.996484
0.115,0.005,0.503108,0.996892,0.503108,0.996892
0.125,0.005,0.502747,0.997253,0.502747,0.997253
0.135,0.005,0.502427,0.997573,0.502427,0.997573
0.145,0.005,0.502144,0.997856,0.502144,0.997856
0.155,0.005,0.501894,0.998106,0.501894,0.998106
0.165,0.005,0.501673,0.998327,0.501673,0.998327
0.175,0.005,0.501478,0.998522,0.501478,0.998522
0.185,0.005,0.501305,0.998695,0.501305,0.998695
0.195,0.005,0.501152,0.998848,0.501152,0.998848
0.205,0.005,0.501018,0.998982,0.501018,0.998982
0.215,0.005,0.500898,0.999102,0.500898,0.999102
0.225,0.005,0.500793,0.999207,0.500793,0.999207
0.235,0.005,0.5007,0.9993,0.5007,0.9993
0.245,0.005,0.500618,0.999382,0.500618,0.999382
0.255,0.005,0.500546,0.999454,0.500546,0.999454
0.265,0.005,0.500482,0.999518,0.500482,0.999518
0.275,0.005,0.500425,0.999575,0.500425,0.999575
0.285,0.005,0.500375,0.999625,0.500375,0.999625
0.295,0.005,0.500331,0.999669,0.500331,0.999669
0.305,0.005,0.500292,0.999708,0.500292,0.999708
0.315,0.005,0.500258,0.999742,0.500258,0.999742
0.325,0.005,0.500228,0.999772,0.500228,0.999772
0.005,0.015,0.513351,0.986649,0.513351,0.986649
0.015,0.015,0.511856,0.988144,0.511856,0.988144
0.025,0.015,0.510522,0.989478,0.510522,0.989478
0.035,0.015,0.509331,0.990669,0.509332,0.990668
0.045,0.015,0.508271,0.991729,0.508271,0.991729
0.055,0.015,0.507328,0.992672,0.507328,0.992672
0.065,0.015,0.506489,0.993511,0.506489,0.993511
0.075,0.015,0.505744,0.994256,0.505744,0.994256
0.085,0.015,0.505083,0.994917,0.505083,0.994917
0.095,0.015,0.504496,0.995504,0.504497,0.995503
0.105,0.015,0.503976,0.996024,0.503977,0.996023
0.115,0.015,0.503516,0.996484,0.503516,0.996484
0.125,0.015,0.503108,0.996892,0.503108,0.996892
0.135,0.015,0.502746,0.997254,0.502747,0.997253
0.145,0.015,0.502427,0.997573,0.502427,0.997573
0.155,0.015,0.502144,0.997856,0.502144,0.997856
0.165,0.015,0.501894,0.998106,0.501894,0.998106
0.175,0.015,0.501673,0.998327,0.501673,0.998327
0.185,0.015,0.501478,0.998522,0.501478,0.998522
0.195,0.015,0.501305,0.998695,0.501305,0.998695
0.205,0.015,0.501152,0.998848,0.501152,0.998848
0.215,0.015,0.501017,0.998983,0.501018,0.998982
0.225,0.015,0.500898,0.999102,0.500898,0.999102
0.235,0.015,0.500793,0.999207,0.500793,0.999207
0.245,0.015,0.5007,0.9993,0.5007,0.9993
0.255,0.015,0.500618,0.999382,0.500618,0.999382
0.265,0.015,0.500546,0.999454,0.500546,0.999454
0.275,0.015,0.500482,0.999518,0.500482,0.999518
0.285,0.015,0.500425,0.999575,0.500425,0.999575
0.295,0.015,0.500375,0.999625,0.500375,0.999625
0.305,0.015,0.500331,0.999669,0.500331,0.999669
0.315,0.015,0.500292,0.999708,0.500292,0.999708
0.325,0.015,0.500258,0.999742,0.500258,0.999742
0.005,0.025,0.515022,0.984978,0.515022,0.984978
0.015,0.025,0.513351,0.986649,0.513351,0.986649
0.025,0.025,0.511856,0.988144,0.511856,0.988144
0.035,0.025,0.510521,0.989479,0.510522,0.989478
0.045,0.025,0.50933,0.99067,0.509332,0.990668
0.055,0.025,0.50827,0.99173,0.508271,0.991729
0.065,0.025,0.507327,0.992673,0.507328,0.992672
0.075,0.025,0.506488,0.993512,0.506489,0.993511
0.085,0.025,0.505743,0.994257,0.505744,0.994256
0.095,0.025,0.505082,0.994918,0.505083,0.994917
0.105,0.025,0.504496,0.995504,0.504497,0.995503
0.115,0.025,0.503976,0.996024,0.503977,0.996023
0.125,0.025,0.503515,0.996485,0.503516,0.996484
0.135,0.025,0.503107,0.996893,0.503108,0.996892
0.145,0.025,0.502746,0.997254,0.502747,0.997253
0.155,0.025,0.502427,0.997573,0.502427,0.997573
0.165,0.025,0.502144,0.997856,0.502144,0.997856
0.175,0.025,0.501894,0.998106,0.501894,0.998106
0.185,0.025,0.501673,0.998327,0.501673,0.998327
0.195,0.025,0.501477,0.998523,0.501478,0.998522
0.205,0.025,0.501305,0.998695,0.501305,0.998695
0.215,0.025,0.501152,0.998848,0.501152,0.998848
0.225,0.025,0.501017,0.998983,0.501018,0.998982
0.235,0.025,0.500898,0.999102,0.500898,0.999102
0.245,0.025,0.500793,0.999207,0.500793,0.999207
0.255,0.025,0.5007,0.9993,0.5007,0.9993
0.265,0.025,0.500618,0.999382,0.500618,0.999382
0.275,0.025,0.500546,0.999454,0.500546,0.999454
0.285,0.025,0.500482,0.999518,0.500482,0.999518
0.295,0.025,0.500425,0.999575,0.500425,0.999575
0.305,0.025,0.500375,0.999625,0.500375,0.999625
0.315,0.025,0.500331,0.999669,0.500331,0.999669
0.325,0.025,0.500292,0.999708,0.500292,0.999708
0.005,0.035,0.516887,0.983113,0.516887,0.983113
0.015,0.035,0.515021,0.984979,0.515022,0.984978
0.025,0.035,0.513349,0.986651,0.513351,0.986649
0.035,0.035,0.511855,0.988145,0.511856,0.988144
0.045,0.035,0.51052,0.98948,0.510522,0.989478
0.055,0.035,0.50933,0.99067,0.509332,0.990668
0.065,0.035,0.508269,0.991731,0.508271,0.991729
0.075,0.035,0.507326,0.992674,0.507328,0.992672
0.085,0.035,0.506487,0.993513,0.506489,0.993511
0.095,0.035,0.505742,0.994258,0.505744,0.994256
0.105,0.035,0.505081,0.994919,0.505083,0.994917
0.115,0.035,0.504495,0.995505,0.504497,0.995503
0.125,0.035,0.503975,0.996025,0.503977,0.996023
0.135,0.035,0.503515,0.996485,0.503516,0.996484
0.145,0.035,0.503107,0.996893,0.503108,0.996892
0.155,0.035,0.502746,0.997254,0.502747,0.997253
0.165,0.035,0.502426,0.997574,0.502427,0.997573
0.175,0.035,0.502144,0.997856,0.502144,0.997856
0.185,0.035,0.501894,0.998106,0.501894,0.998106
0.195,0.035,0.501673,0.998327,0.501673,0.998327
0.205,0.035,0.501477,0.998523,0.501478,0.998522
0.215,0.035,0.501304,0.998696,0.501305,0.998695
0.225,0.035,0.501152,0.998848,0.501152,0.998848
0.235,0.035,0.501017,0.998983,0.501018,0.998982
0.245,0.035,0.500898,0.999102,0.500898,0.999102
0.255,0.035,0.500793,0.999207,0.500793,0.999207
0.265,0.035,0.5007,0.9993,0.5007,0.9993
0.275,0.035,0.500618,0.999382,0.500618,0.999382
0.285,0.035,0.500545,0.999455,0.500546,0.999454
0.295,0.035,0.500481,0.999519,0.500482,0.999518
0.305,0.035,0.500425,0.999575,0.500425,0.999575
0.315,0.035,0.500375,0.999625,0.500375,0.999625
0.325,0.035,0.500331,0.999669,0.500331,0.999669
0.005,0.045,0.518965,0.981035,0.518965,0.981035
0.015,0.045,0.516886,0.983114,0.516887,0.983113
0.025,0.045,0.51502,0.98498,0.515022,0.984978
0.035,0.045,0.513348,0.986652,0.513351,0.986649
0.045,0.045,0.511854,0.988146,0.511856,0.988144
0.055,0.045,0.510519,0.989481,0.510522,0.989478
0.065,0.045,0.509329,0.990671,0.509332,0.990668
0.075,0.045,0.508268,0.991732,0.508271,0.991729
0.085,0.045,0.507325,0.992675,0.507328,0.992672
0.095,0.045,0.506487,0.993513,0.506489,0.993511
0.105,0.045,0.505742,0.994258,0.505744,0.994256
0.115,0.045,0.505081,0.994919,0.505083,0.994917
0.125,0.045,0.504494,0.995506,0.504497,0.995503
0.135,0.045,0.503975,0.996025,0.503977,0.996023
0.145,0.045,0.503514,0.996486,0.503516,0.996484
0.155,0.045,0.503106,0.996894,0.503108,0.996892
0.165,0.045,0.502745,0.997255,0.502747,0.997253
0.175,0.045,0.502426,0.997574,0.502427,0.997573
0.185,0.045,0.502143,0.997857,0.502144,0.997856
0.195,0.045,0.501893,0.998107,0.501894,0.998106
0.205,0.045,0.501672,0.998328,0.501673,0.998327
0.215,0.045,0.501477,0.998523,0.501478,0.998522
0.225,0.045,0.501304,0.998696,0.501305,0.998695
0.235,0.045,0.501152,0.998848,0.501152,0.998848
0.245,0.045,0.501017,0.998983,0.501018,0.998982
0.255,0.045,0.500898,0.999102,0.500898,0.999102
0.265,0.045,0.500793,0.999207,0.500793,0.999207
0.275,0.045,0.5007,0.9993,0.5007,0.9993
0.285,0.045,0.500618,0.999382,0.500618,0.999382
0.295,0.045,0.500545,0.999455,0.500546,0.999454
0.305,0.045,0.500481,0.999519,0.500482,0.999518
0.315,0.045,0.500425,0.999575,0.500425,0.999575
0.325,0.045,0.500375,0.999625,0.500375,0.999625
0.005,0.055,0.521275,0.978725,0.521275,0.978725
0.015,0.055,0.518964,0.981036,0.518965,0.981035
0.025,0.055,0.516885,0.983115,0.516887,0.983113
0.035,0.055,0.515019,0.984981,0.515022,0.984978
0.045,0.055,0.513347,0.986653,0.513351,0.986649
0.055,0.055,0.511853,0.988147,0.511856,0.988144
0.065,0.055,0.510518,0.989482,0.510522,0.989478
0.075,0.055,0.509328,0.990672,0.509332,0.990668
0.085,0.055,0.508268,0.991732,0.508271,0.991729
0.095,0.055,0.507324,0.992676,0.507328,0.992672
0.105,0.055,0.506486,0.993514,0.506489,0.993511
0.115,0.055,0.505741,0.994259,0.505744,0.994256
0.125,0.055,0.50508,0.99492,0.505083,0.994917
0.135,0.055,0.504494,0.995506,0.504497,0.995503
0.145,0.055,0.503974,0.996026,0.503977,0.996023
0.155,0.055,0.503514,0.996486,0.503516,0.996484
0.165,0.055,0.503106,0.996894,0.503108,0.996892
0.175,0.055,0.502745,0.997255,0.502747,0.997253
0.185,0.055,0.502425,0.997575,0.502427,0.997573
0.195,0.055,0.502143,0.997857,0.502144,0.997856
0.205,0.055,0.501893,0.998107,0.501894,0.998106
0.215,0.055,0.501672,0.998328,0.501673,0.998327
0.225,0.055,0.501477,0.998523,0.501478,0.998522
0.235,0.055,0.501304,0.998696,0.501305,0.998695
0.245,0.055,0.501152,0.998848,0.501152,0.998848
0.255,0.055,0.501017,0.998983,0.501018,0.998982
0.265,0.055,0.500898,0.999102,0.500898,0.999102
0.275,0.055,0.500793,0.999207,0.500793,0.999207
0.285,0.055,0.5007,0.9993,0.5007,0.9993
0.295,0.055,0.500618,0.999382,0.500618,0.999382
0.305,0.055,0.500545,0.999455,0.500546,0.999454
0.315,0.055,0.500481,0.999519,0.500482,0.999518
0.325,0.055,0.500425,0.999575,0.500425,0.999575
0.005,0.065,0.523837,0.976163,0.523837,0.976163
0.015,0.065,0.521274,0.978726,0.521275,0.978725
0.025,0.065,0.518962,0.981038,0.518965,0.981035
0.035,0.065,0.516883,0.983117,0.516887,0.983113
0.045,0.065,0.515017,0.984983,0.515022,0.984978
0.055,0.065,0.513346,0.986654,0.513351,0.986649
0.065,0.065,0.511852,0.988148,0.511856,0.988144
0.075,0.065,0.510517,0.989483,0.510522,0.989478
0.085,0.065,0.509327,0.990673,0.509332,0.990668
0.095,0.065,0.508267,0.991733,0.508271,0.991729
0.105,0.065,0.507324,0.992676,0.507328,0.992672
0.115,0.065,0.506485,0.993515,0.506489,0.993511
0.125,0.065,0.50574,0.99426,0.505744,0.994256
0.135,0.065,0.50508,0.99492,0.505083,0.994917
0.145,0.065,0.504493,0.995507,0.504497,0.995503
0.155,0.065,0.503974,0.996026,0.503977,0.996023
0.165,0.065,0.503513,0.996487,0.503516,0.996484
0.175,0.065,0.503105,0.996895,0.503108,0.996892
0.185,0.065,0.502745,0.997255,0.502747,0.997253
0.195,0.065,0.502425,0.997575,0.502427,0.997573
0.205,0.065,0.502143,0.997857,0.502144,0.997856
0.215,0.065,0.501893,0.998107,0.501894,0.998106
0.225,0.065,0.501672,0.998328,0.501673,0.998327
0.235,0.065,0.501476,0.998524,0.501478,0.998522
0.245,0.065,0.501304,0.998696,0.501305,0.998695
0.255,0.065,0.501151,0.998849,0.501152,0.998848
0.265,0.065,0.501017,0.998983,0.501018,0.998982
0.275,0.065,0.500898,0.999102,0.500898,0.999102
0.285,0.065,0.500792,0.999208,0.500793,0.999207
0.295,0.065,0.5007,0.9993,0.5007,0.9993
0.305,0.065,0.500618,0.999382,0.500618,0.999382
0.315,0.065,0.500545,0.999455,0.500546,0.999454
0.325,0.065,0.500481,0.999519,0.500482,0.999518
0.005,0.075,0.526673,0.973327,0.526673,0.973327
0.015,0.075,0.523836,0.976164,0.523837,0.976163
0.025,0.075,0.521272,0.978728,0.521275,0.978725
0.035,0.075,0.518961,0.981039,0.518965,0.981035
0.045,0.075,0.516882,0.983118,0.516887,0.983113
0.055,0.075,0.515016,0.984984,0.515022,0.984978
0.065,0.075,0.513345,0.986655,0.513351,0.986649
0.075,0.075,0.51185,0.98815,0.511856,0.988144
0.085,0.075,0.510516,0.989484,0.510522,0.989478
0.095,0.075,0.509326,0.990674,0.509332,0.990668
0.105,0.075,0.508266,0.991734,0.508271,0.991729
0.115,0.075,0.507323,0.992677,0.507328,0.992672
0.125,0.075,0.506484,0.993516,0.506489,0.993511
0.135,0.075,0.50574,0.99426,0.505744,0.994256
0.145,0.075,0.505079,0.994921,0.505083,0.994917
0.155,0.075,0.504493,0.995507,0.504497,0.995503
0.165,0.075,0.503973,0.996027,0.503977,0.996023
0.175,0.075,0.503513,0.996487,0.503516,0.996484
0.185,0.075,0.503105,0.996895,0.503108,0.996892
