X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.500679,0.999321,0.500679,0.999321
0.015,0.005,0.500599,0.999401,0.500599,0.999401
0.025,0.005,0.500529,0.999471,0.500529,0.999471
0.035,0.005,0.500467,0.999533,0.500467,0.999533
0.045,0.005,0.500412,0.999588,0.500412,0.999588
0.055,0.005,0.500364,0.999636,0.500364,0.999636
0.065,0.005,0.500321,0.999679,0.500321,0.999679
0.075,0.005,0.500283,0.999717,0.500283,0.999717
0.085,0.005,0.50025,0.99975,0.50025,0.99975
0.095,0.005,0.500221,0.999779,0.500221,0.999779
0.105,0.005,0.500195,0.999805,0.500195,0.999805
0.115,0.005,0.500172,0.999828,0.500172,0.999828
0.125,0.005,0.500152,0.999848,0.500152,0.999848
0.135,0.005,0.500134,0.999866,0.500134,0.999866
0.145,0.005,0.500118,0.999882,0.500118,0.999882
0.155,0.005,0.500104,0.999896,0.500104,0.999896
0.165,0.005,0.500092,0.999908,0.500092,0.999908
0.175,0.005,0.500081,0.999919,0.500081,0.999919
0.185,0.005,0.500072,0.999928,0.500072,0.999928
0.195,0.005,0.500063,0.999937,0.500063,0.999937
0.205,0.005,0.500056,0.999944,0.500056,0.999944
0.215,0.005,0.500049,0.999951,0.500049,0.999951
0.225,0.005,0.500044,0.999956,0.500044,0.999956
0.235,0.005,0.500038,0.999962,0.500038,0.999962
0.245,0.005,0.500034,0.999966,0.500034,0.999966
0.255,0.005,0.50003,0.99997,0.50003,0.99997
0.265,0.005,0.500026,0.999974,0.500026,0.999974
0.275,0.005,0.500023,0.999977,0.500023,0.999977
0.285,0.005,0.500021,0.999979,0.500021,0.999979
0.295,0.005,0.500018,0.999982,0.500018,0.999982
0.305,0.005,0.500016,0.999984,0.500016,0.999984
0.315,0.005,0.500014,0.999986,0.500014,0.999986
0.325,0.005,0.500012,0.999988,0.500012,0.999988
0.005,0.015,0.500769,0.999231,0.500769,0.999231
0.015,0.015,0.500679,0.999321,0.500679,0.999321
0.025,0.015,0.500599,0.999401,0.500599,0.999401
0.035,0.015,0.500529,0.999471,0.500529,0.999471
0.045,0.015,0.500467,0.999533,0.500467,0.999533
0.055,0.015,0.500412,0.999588,0.500412,0.999588
0.065,0.015,0.500364,0.999636,0.500364,0.999636
0.075,0.015,0.500321,0.999679,0.500321,0.999679
0.085,0.015,0.500283,0.999717,0.500283,0.999717
0.095,0.015,0.50025,0.99975,0.50025,0.99975
0.105,0.015,0.500221,0.999779,0.500221,0.999779
0.115,0.015,0.500195,0.999805,0.500195,0.999805
0.125,0.015,0.500172,0.999828,0.500172,0.999828
0.135,0.015,0.500152,0.999848,0.500152,0.999848
0.145,0.015,0.500134,0.999866,0.500134,0.999866
0.155,0.015,0.500118,0.999882,0.500118,0.999882
0.165,0.015,0.500104,0.999896,0.500104,0.999896
0.175,0.015,0.500092,0.999908,0.500092,0.999908
0.185,0.015,0.500081,0.999919,0.500081,0.999919
0.195,0.015,0.500072,0.999928,0.500072,0.999928
0.205,0.015,0.500063,0.999937,0.500063,0.999937
0.215,0.015,0.500056,0.999944,0.500056,0.999944
0.225,0.015,0.500049,0.999951,0.500049,0.999951
0.235,0.015,0.500043,0.999957,0.500044,0.999956
0.245,0.015,0.500038,0.999962,0.500038,0.999962
0.255,0.015,0.500034,0.999966,0.500034,0.999966
0.265,0.015,0.50003,0.99997,0.50003,0.99997
0.275,0.015,0.500026,0.999974,0.500026,0.999974
0.285,0.015,0.500023,0.999977,0.500023,0.999977
0.295,0.015,0.500021,0.999979,0.500021,0.999979
0.305,0.015,0.500018,0.999982,0.500018,0.999982
0.315,0.015,0.500016,0.999984,0.500016,0.999984
0.325,0.015,0.500014,0.999986,0.500014,0.999986
0.005,0.025,0.500871,0.999129,0.500871,0.999129
0.015,0.025,0.500769,0.999231,0.500769,0.999231
0.025,0.025,0.500679,0.999321,0.500679,0.999321
0.035,0.025,0.500599,0.999401,0.500599,0.999401
0.045,0.025,0.500529,0.999471,0.500529,0.999471
0.055,0.025,0.500467,0.999533,0.500467,0.999533
0.065,0.025,0.500412,0.999588,0.500412,0.999588
0.075,0.025,0.500364,0.999636,0.500364,0.999636
0.085,0.025,0.500321,0.999679,0.500321,0.999679
0.095,0.025,0.500283,0.999717,0.500283,0.999717
0.105,0.025,0.50025,0.99975,0.50025,0.99975
0.115,0.025,0.500221,0.999779,0.500221,0.999779
0.125,0.025,0.500195,0.999805,0.500195,0.999805
0.135,0.025,0.500172,0.999828,0.500172,0.999828
0.145,0.025,0.500152,0.999848,0.500152,0.999848
0.155,0.025,0.500134,0.999866,0.500134,0.999866
0.165,0.025,0.500118,0.999882,0.500118,0.999882
0.175,0.025,0.500104,0.999896,0.500104,0.999896
0.185,0.025,0.500092,0.999908,0.500092,0.999908
0.195,0.025,0.500081,0.999919,0.500081,0.999919
0.205,0.025,0.500072,0.999928,0.500072,0.999928
0.215,0.025,0.500063,0.999937,0.500063,0.999937
0.225,0.025,0.500056,0.999944,0.500056,0.999944
0.235,0.025,0.500049,0.999951,0.500049,0.999951
0.245,0.025,0.500043,0.999957,0.500044,0.999956
0.255,0.025,0.500038,0.999962,0.500038,0.999962
0.265,0.025,0.500034,0.999966,0.500034,0.999966
0.275,0.025,0.50003,0.99997,0.50003,0.99997
0.285,0.025,0.500026,0.999974,0.500026,0.999974
0.295,0.025,0.500023,0.999977,0.500023,0.999977
0.305,0.025,0.500021,0.999979,0.500021,0.999979
0.315,0.025,0.500018,0.999982,0.500018,0.999982
0.325,0.025,0.500016,0.999984,0.500016,0.999984
0.005,0.035,0.500986,0.999014,0.500986,0.999014
0.015,0.035,0.500871,0.999129,0.500871,0.999129
0.025,0.035,0.500769,0.999231,0.500769,0.999231
0.035,0.035,0.500679,0.999321,0.500679,0.999321
0.045,0.035,0.500599,0.999401,0.500599,0.999401
0.055,0.035,0.500529,0.999471,0.500529,0.999471
0.065,0.035,0.500467,0.999533,0.500467,0.999533
0.075,0.035,0.500412,0.999588,0.500412,0.999588
0.085,0.035,0.500364,0.999636,0.500364,0.999636
0.095,0.035,0.500321,0.999679,0.500321,0.999679
0.105,0.035,0.500283,0.999717,0.500283,0.999717
0.115,0.035,0.50025,0.99975,0.50025,0.99975
0.125,0.035,0.500221,0.999779,0.500221,0.999779
0.135,0.035,0.500195,0.999805,0.500195,0.999805
0.145,0.035,0.500172,0.999828,0.500172,0.999828
0.155,0.035,0.500152,0.999848,0.500152,0.999848
0.165,0.035,0.500134,0.999866,0.500134,0.999866
0.175,0.035,0.500118,0.999882,0.500118,0.999882
0.185,0.035,0.500104,0.999896,0.500104,0.999896
0.195,0.035,0.500092,0.999908,0.500092,0.999908
0.205,0.035,0.500081,0.999919,0.500081,0.999919
0.215,0.035,0.500072,0.999928,0.500072,0.999928
0.225,0.035,0.500063,0.999937,0.500063,0.999937
0.235,0.035,0.500056,0.999944,0.500056,0.999944
0.245,0.035,0.500049,0.999951,0.500049,0.999951
0.255,0.035,0.500043,0.999957,0.500044,0.999956
0.265,0.035,0.500038,0.999962,0.500038,0.999962
0.275,0.035,0.500034,0.999966,0.500034,0.999966
0.285,0.035,0.50003,0.99997,0.50003,0.99997
0.295,0.035,0.500026,0.999974,0.500026,0.999974
0.305,0.035,0.500023,0.999977,0.500023,0.999977
0.315,0.035,0.500021,0.999979,0.500021,0.999979
0.325,0.035,0.500018,0.999982,0.500018,0.999982
0.005,0.045,0.501117,0.998883,0.501117,0.998883
0.015,0.045,0.500986,0.999014,0.500986,0.999014
0.025,0.045,0.500871,0.999129,0.500871,0.999129
0.035,0.045,0.500769,0.999231,0.500769,0.999231
0.045,0.045,0.500679,0.999321,0.500679,0.999321
0.055,0.045,0.500599,0.999401,0.500599,0.999401
0.065,0.045,0.500529,0.999471,0.500529,0.999471
0.075,0.045,0.500467,0.999533,0.500467,0.999533
0.085,0.045,0.500412,0.999588,0.500412,0.999588
0.095,0.045,0.500364,0.999636,0.500364,0.999636
0.105,0.045,0.500321,0.999679,0.500321,0.999679
0.115,0.045,0.500283,0.999717,0.500283,0.999717
0.125,0.045,0.50025,0.99975,0.50025,0.99975
0.135,0.045,0.500221,0.999779,0.500221,0.999779
0.145,0.045,0.500195,0.999805,0.500195,0.999805
0.155,0.045,0.500172,0.999828,0.500172,0.999828
0.165,0.045,0.500152,0.999848,0.500152,0.999848
0.175,0.045,0.500134,0.999866,0.500134,0.999866
0.185,0.045,0.500118,0.999882,0.500118,0.999882
0.195,0.045,0.500104,0.999896,0.500104,0.999896
0.205,0.045,0.500092,0.999908,0.500092,0.999908
0.215,0.045,0.500081,0.999919,0.500081,0.999919
0.225,0.045,0.500072,0.999928,0.500072,0.999928
0.235,0.045,0.500063,0.999937,0.500063,0.999937
0.245,0.045,0.500056,0.999944,0.500056,0.999944
0.255,0.045,0.500049,0.999951,0.500049,0.999951
0.265,0.045,0.500043,0.999957,0.500044,0.999956
0.275,0.045,0.500038,0.999962,0.500038,0.999962
0.285,0.045,0.500034,0.999966,0.500034,0.999966
0.295,0.045,0.50003,0.99997,0.50003,0.99997
0.305,0.045,0.500026,0.999974,0.500026,0.999974
0.315,0.045,0.500023,0.999977,0.500023,0.999977
0.325,0.045,0.500021,0.999979,0.500021,0.999979
0.005,0.055,0.501265,0.998735,0.501265,0.998735
0.015,0.055,0.501117,0.998883,0.501117,0.998883
0.025,0.055,0.500986,0.999014,0.500986,0.999014
0.035,0.055,0.500871,0.999129,0.500871,0.999129
0.045,0.055,0.500769,0.999231,0.500769,0.999231
0.055,0.055,0.500678,0.999322,0.500679,0.999321
0.065,0.055,0.500599,0.999401,0.500599,0.999401
0.075,0.055,0.500529,0.999471,0.500529,0.999471
0.085,0.055,0.500467,0.999533,0.500467,0.999533
0.095,0.055,0.500412,0.999588,0.500412,0.999588
0.105,0.055,0.500364,0.999636,0.500364,0.999636
0.115,0.055,0.500321,0.999679,0.500321,0.999679
0.125,0.055,0.500283,0.999717,0.500283,0.999717
0.135,0.055,0.50025,0.99975,0.50025,0.99975
0.145,0.055,0.500221,0.999779,0.500221,0.999779
0.155,0.055,0.500195,0.999805,0.500195,0.999805
0.165,0.055,0.500172,0.999828,0.500172,0.999828
0.175,0.055,0.500152,0.999848,0.500152,0.999848
0.185,0.055,0.500134,0.999866,0.500134,0.999866
0.195,0.055,0.500118,0.999882,0.500118,0.999882
0.205,0.055,0.500104,0.999896,0.500104,0.999896
0.215,0.055,0.500092,0.999908,0.500092,0.999908
0.225,0.055,0.500081,0.999919,0.500081,0.999919
0.235,0.055,0.500072,0.999928,0.500072,0.999928
0.245,0.055,0.500063,0.999937,0.500063,0.999937
0.255,0.055,0.500056,0.999944,0.500056,0.999944
0.265,0.055,0.500049,0.999951,0.500049,0.999951
0.275,0.055,0.500043,0.999957,0.500044,0.999956
0.285,0.055,0.500038,0.999962,0.500038,0.999962
0.295,0.055,0.500034,0.999966,0.500034,0.999966
0.305,0.055,0.50003,0.99997,0.50003,0.99997
0.315,0.055,0.500026,0.999974,0.500026,0.999974
0.325,0.055,0.500023,0.999977,0.500023,0.999977
0.005,0.065,0.501433,0.998567,0.501433,0.998567
0.015,0.065,0.501265,0.998735,0.501265,0.998735
0.025,0.065,0.501117,0.998883,0.501117,0.998883
0.035,0.065,0.500986,0.999014,0.500986,0.999014
0.045,0.065,0.50087,0.99913,0.500871,0.999129
