X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.500021,0.999979,0.500021,0.999979
0.015,0.005,0.500019,0.999981,0.500019,0.999981
0.025,0.005,0.500017,0.999983,0.500017,0.999983
0.035,0.005,0.500015,0.999985,0.500015,0.999985
0.045,0.005,0.500013,0.999987,0.500013,0.999987
0.055,0.005,0.500011,0.999989,0.500011,0.999989
0.065,0.005,0.50001,0.99999,0.50001,0.99999
0.075,0.005,0.500009,0.999991,0.500009,0.999991
0.085,0.005,0.500008,0.999992,0.500008,0.999992
0.095,0.005,0.500007,0.999993,0.500007,0.999993
0.105,0.005,0.500006,0.999994,0.500006,0.999994
0.115,0.005,0.500005,0.999995,0.500005,0.999995
0.125,0.005,0.500005,0.999995,0.500005,0.999995
0.135,0.005,0.500004,0.999996,0.500004,0.999996
0.145,0.005,0.500004,0.999996,0.500004,0.999996
0.155,0.005,0.500003,0.999997,0.500003,0.999997
0.165,0.005,0.500003,0.999997,0.500003,0.999997
0.175,0.005,0.500003,0.999997,0.500003,0.999997
0.185,0.005,0.500002,0.999998,0.500002,0.999998
0.195,0.005,0.500002,0.999998,0.500002,0.999998
0.205,0.005,0.500002,0.999998,0.500002,0.999998
0.215,0.005,0.500002,0.999998,0.500002,0.999998
0.225,0.005,0.500001,0.999999,0.500001,0.999999
0.235,0.005,0.500001,0.999999,0.500001,0.999999
0.245,0.005,0.500001,0.999999,0.500001,0.999999
0.255,0.005,0.500001,0.999999,0.500001,0.999999
0.265,0.005,0.500001,0.999999,0.500001,0.999999
0.275,0.005,0.500001,0.999999,0.500001,0.999999
0.285,0.005,0.500001,0.999999,0.500001,0.999999
0.295,0.005,0.500001,0.999999,0.500001,0.999999
0.305,0.005,0.5,1,0.5,1
0.315,0.005,0.5,1,0.5,1
0.325,0.005,0.5,1,0.5,1
0.005,0.015,0.500024,0.999976,0.500024,0.999976
0.015,0.015,0.500021,0.999979,0.500021,0.999979
0.025,0.015,0.500019,0.999981,0.500019,0.999981
0.035,0.015,0.500017,0.999983,0.500017,0.999983
0.045,0.015,0.500015,0.999985,0.500015,0.999985
0.055,0.015,0.500013,0.999987,0.500013,0.999987
0.065,0.015,0.500011,0.999989,0.500011,0.999989
0.075,0.015,0.50001,0.99999,0.50001,0.99999
0.085,0.015,0.500009,0.999991,0.500009,0.999991
0.095,0.015,0.500008,0.999992,0.500008,0.999992
0.105,0.015,0.500007,0.999993,0.500007,0.999993
0.115,0.015,0.500006,0.999994,0.500006,0.999994
0.125,0.015,0.500005,0.999995,0.500005,0.999995
0.135,0.015,0.500005,0.999995,0.500005,0.999995
0.145,0.015,0.500004,0.999996,0.500004,0.999996
0.155,0.015,0.500004,0.999996,0.500004,0.999996
0.165,0.015,0.500003,0.999997,0.500003,0.999997
0.175,0.015,0.500003,0.999997,0.500003,0.999997
0.185,0.015,0.500003,0.999997,0.500003,0.999997
0.195,0.015,0.500002,0.999998,0.500002,0.999998
0.205,0.015,0.500002,0.999998,0.500002,0.999998
0.215,0.015,0.500002,0.999998,0.500002,0.999998
0.225,0.015,0.500002,0.999998,0.500002,0.999998
0.235,0.015,0.500001,0.999999,0.500001,0.999999
0.245,0.015,0.500001,0.999999,0.500001,0.999999
0.255,0.015,0.500001,0.999999,0.500001,0.999999
0.265,0.015,0.500001,0.999999,0.500001,0.999999
0.275,0.015,0.500001,0.999999,0.500001,0.999999
0.285,0.015,0.500001,0.999999,0.500001,0.999999
0.295,0.015,0.500001,0.999999,0.500001,0.999999
0.305,0.015,0.500001,0.999999,0.500001,0.999999
0.315,0.015,0.5,1,0.5,1
0.325,0.015,0.5,1,0.5,1
0.005,0.025,0.500027,0.999973,0.500027,0.999973
0.015,0.025,0.500024,0.999976,0.500024,0.999976
0.025,0.025,0.500021,0.999979,0.500021,0.999979
0.035,0.025,0.500019,0.999981,0.500019,0.999981
0.045,0.025,0.500017,0.999983,0.500017,0.999983
0.055,0.025,0.500015,0.999985,0.500015,0.999985
0.065,0.025,0.500013,0.999987,0.500013,0.999987
0.075,0.025,0.500011,0.999989,0.500011,0.999989
0.085,0.025,0.50001,0.99999,0.50001,0.99999
0.095,0.025,0.500009,0.999991,0.500009,0.999991
0.105,0.025,0.500008,0.999992,0.500008,0.999992
0.115,0.025,0.500007,0.999993,0.500007,0.999993
0.125,0.025,0.500006,0.999994,0.500006,0.999994
0.135,0.025,0.500005,0.999995,0.500005,0.999995
0.145,0.025,0.500005,0.999995,0.500005,0.999995
0.155,0.025,0.500004,0.999996,0.500004,0.999996
0.165,0.025,0.500004,0.999996,0.500004,0.999996
0.175,0.025,0.500003,0.999997,0.500003,0.999997
0.185,0.025,0.500003,0.999997,0.500003,0.999997
0.195,0.025,0.500003,0.999997,0.500003,0.999997
0.205,0.025,0.500002,0.999998,0.500002,0.999998
0.215,0.025,0.500002,0.999998,0.500002,0.999998
0.225,0.025,0.500002,0.999998,0.500002,0.999998
0.235,0.025,0.500002,0.999998,0.500002,0.999998
0.245,0.025,0.500001,0.999999,0.500001,0.999999
0.255,0.025,0.500001,0.999999,0.500001,0.999999
0.265,0.025,0.500001,0.999999,0.500001,0.999999
0.275,0.025,0.500001,0.999999,0.500001,0.999999
0.285,0.025,0.500001,0.999999,0.500001,0.999999
0.295,0.025,0.500001,0.999999,0.500001,0.999999
0.305,0.025,0.500001,0.999999,0.500001,0.999999
0.315,0.025,0.500001,0.999999,0.500001,0.999999
0.325,0.025,0.5,1,0.5,1
0.005,0.035,0.500031,0.999969,0.500031,0.999969
0.015,0.035,0.500027,0.999973,0.500027,0.999973
0.025,0.035,0.500024,0.999976,0.500024,0.999976
0.035,0.035,0.500021,0.999979,0.500021,0.999979
0.045,0.035,0.500019,0.999981,0.500019,0.999981
0.055,0.035,0.500017,0.999983,0.500017,0.999983
0.065,0.035,0.500015,0.999985,0.500015,0.999985
0.075,0.035,0.500013,0.999987,0.500013,0.999987
0.085,0.035,0.500011,0.999989,0.500011,0.999989
0.095,0.035,0.50001,0.99999,0.50001,0.99999
0.105,0.035,0.500009,0.999991,0.500009,0.999991
0.115,0.035,0.500008,0.999992,0.500008,0.999992
0.125,0.035,0.500007,0.999993,0.500007,0.999993
0.135,0.035,0.500006,0.999994,0.500006,0.999994
0.145,0.035,0.500005,0.999995,0.500005,0.999995
0.155,0.035,0.500005,0.999995,0.500005,0.999995
0.165,0.035,0.500004,0.999996,0.500004,0.999996
0.175,0.035,0.500004,0.999996,0.500004,0.999996
0.185,0.035,0.500003,0.999997,0.500003,0.999997
0.195,0.035,0.500003,0.999997,0.500003,0.999997
0.205,0.035,0.500003,0.999997,0.500003,0.999997
0.215,0.035,0.500002,0.999998,0.500002,0.999998
0.225,0.035,0.500002,0.999998,0.500002,0.999998
0.235,0.035,0.500002,0.999998,0.500002,0.999998
0.245,0.035,0.500002,0.999998,0.500002,0.999998
0.255,0.035,0.500001,0.999999,0.500001,0.999999
0.265,0.035,0.500001,0.999999,0.500001,0.999999
0.275,0.035,0.500001,0.999999,0.500001,0.999999
0.285,0.035,0.500001,0.999999,0.500001,0.999999
0.295,0.035,0.500001,0.999999,0.500001,0.999999
