X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.619145,0.880855,0.619145,0.880855
0.015,0.005,0.611382,0.888618,0.611382,0.888618
0.025,0.005,0.603725,0.896275,0.603725,0.896275
0.035,0.005,0.596228,0.903772,0.596228,0.903772
0.045,0.005,0.588944,0.911056,0.588944,0.911056
0.055,0.005,0.581917,0.918083,0.581917,0.918083
0.065,0.005,0.575186,0.924814,0.575186,0.924814
0.075,0.005,0.568782,0.931218,0.568782,0.931218
0.085,0.005,0.562728,0.937272,0.562728,0.937272
0.095,0.005,0.557039,0.942961,0.557039,0.942961
0.105,0.005,0.551724,0.948276,0.551724,0.948276
0.115,0.005,0.546783,0.953217,0.546783,0.953217
0.125,0.005,0.542214,0.957786,0.542214,0.957786
0.135,0.005,0.538008,0.961992,0.538008,0.961992
0.145,0.005,0.534152,0.965848,0.534152,0.965848
0.155,0.005,0.530631,0.969369,0.530631,0.969369
0.165,0.005,0.527426,0.972574,0.527426,0.972574
0.175,0.005,0.52452,0.97548,0.52452,0.97548
0.185,0.005,0.521891,0.978109,0.521891,0.978109
0.195,0.005,0.51952,0.98048,0.51952,0.98048
0.205,0.005,0.517385,0.982615,0.517385,0.982615
0.215,0.005,0.515469,0.984531,0.515469,0.984531
0.225,0.005,0.513751,0.986249,0.513751,0.986249
0.235,0.005,0.512214,0.987786,0.512214,0.987786
0.245,0.005,0.510841,0.989159,0.510841,0.989159
0.255,0.005,0.509617,0.990383,0.509617,0.990383
0.265,0.005,0.508525,0.991475,0.508525,0.991475
0.275,0.005,0.507554,0.992446,0.507554,0.992446
0.285,0.005,0.50669,0.99331,0.50669,0.99331
0.295,0.005,0.505922,0.994078,0.505922,0.994078
0.305,0.005,0.505241,0.994759,0.505241,0.994759
0.315,0.005,0.504637,0.995363,0.504637,0.995363
0.325,0.005,0.504101,0.995899,0.504101,0.995899
0.335,0.005,0.503626,0.996374,0.503626,0.996374
0.345,0.005,0.503205,0.996795,0.503205,0.996795
0.355,0.005,0.502833,0.997167,0.502833,0.997167
0.365,0.005,0.502503,0.997497,0.502503,0.997497
0.375,0.005,0.502212,0.997788,0.502212,0.997788
0.385,0.005,0.501954,0.998046,0.501954,0.998046
0.395,0.005,0.501726,0.998274,0.501726,0.998274
0.405,0.005,0.501524,0.998476,0.501524,0.998476
0.415,0.005,0.501346,0.998654,0.501346,0.998654
0.425,0.005,0.501189,0.998811,0.501189,0.998811
0.435,0.005,0.50105,0.99895,0.50105,0.99895
0.445,0.005,0.500927,0.999073,0.500927,0.999073
0.455,0.005,0.500818,0.999182,0.500818,0.999182
0.465,0.005,0.500722,0.999278,0.500722,0.999278
0.475,0.005,0.500638,0.999362,0.500638,0.999362
0.485,0.005,0.500563,0.999437,0.500563,0.999437
0.495,0.005,0.500497,0.999503,0.500497,0.999503
0.505,0.005,0.500439,0.999561,0.500439,0.999561
0.515,0.005,0.500387,0.999613,0.500387,0.999613
0.525,0.005,0.500342,0.999658,0.500342,0.999658
0.535,0.005,0.500302,0.999698,0.500302,0.999698
0.545,0.005,0.500266,0.999734,0.500266,0.999734
0.555,0.005,0.500235,0.999765,0.500235,0.999765
0.565,0.005,0.500207,0.999793,0.500207,0.999793
0.575,0.005,0.500183,0.999817,0.500183,0.999817
0.585,0.005,0.500162,0.999838,0.500162,0.999838
0.595,0.005,0.500143,0.999857,0.500143,0.999857
0.605,0.005,0.500126,0.999874,0.500126,0.999874
0.615,0.005,0.500111,0.999889,0.500111,0.999889
0.625,0.005,0.500098,0.999902,0.500098,0.999902
0.635,0.005,0.500086,0.999914,0.500086,0.999914
0.645,0.005,0.500076,0.999924,0.500076,0.999924
0.655,0.005,0.500067,0.999933,0.500067,0.999933
0.665,0.005,0.500059,0.999941,0.500059,0.999941
0.675,0.005,0.500052,0.999948,0.500052,0.999948
0.685,0.005,0.500046,0.999954,0.500046,0.999954
0.695,0.005,0.500041,0.999959,0.500041,0.999959
0.705,0.005,0.500036,0.999964,0.500036,0.999964
0.715,0.005,0.500032,0.999968,0.500032,0.999968
0.725,0.005,0.500028,0.999972,0.500028,0.999972
0.735,0.005,0.500025,0.999975,0.500025,0.999975
0.745,0.005,0.500022,0.999978,0.500022,0.999978
0.755,0.005,0.500019,0.999981,0.500019,0.999981
0.765,0.005,0.500017,0.999983,0.500017,0.999983
0.775,0.005,0.500015,0.999985,0.500015,0.999985
0.785,0.005,0.500013,0.999987,0.500013,0.999987
0.795,0.005,0.500012,0.999988,0.500012,0.999988
0.805,0.005,0.50001,0.99999,0.50001,0.99999
0.815,0.005,0.500009,0.999991,0.500009,0.999991
0.825,0.005,0.500008,0.999992,0.500008,0.999992
0.835,0.005,0.500007,0.999993,0.500007,0.999993
0.845,0.005,0.500006,0.999994,0.500006,0.999994
0.855,0.005,0.500006,0.999994,0.500006,0.999994
0.865,0.005,0.500005,0.999995,0.500005,0.999995
0.875,0.005,0.500004,0.999996,0.500004,0.999996
0.885,0.005,0.500004,0.999996,0.500004,0.999996
0.895,0.005,0.500003,0.999997,0.500003,0.999997
0.905,0.005,0.500003,0.999997,0.500003,0.999997
0.915,0.005,0.500003,0.999997,0.500003,0.999997
0.925,0.005,0.500002,0.999998,0.500002,0.999998
0.935,0.005,0.500002,0.999998,0.500002,0.999998
0.945,0.005,0.500002,0.999998,0.500002,0.999998
0.955,0.005,0.500002,0.999998,0.500002,0.999998
0.965,0.005,0.500001,0.999999,0.500001,0.999999
0.975,0.005,0.500001,0.999999,0.500001,0.999999
0.985,0.005,0.500001,0.999999,0.500001,0.999999
0.995,0.005,0.500001,0.999999,0.500001,0.999999
0.005,0.015,0.626953,0.873047,0.626953,0.873047
0.015,0.015,0.619149,0.880851,0.619145,0.880855
0.025,0.015,0.611387,0.888613,0.611382,0.888618
0.035,0.015,0.60373,0.89627,0.603725,0.896275
0.045,0.015,0.596233,0.903767,0.596228,0.903772
0.055,0.015,0.588948,0.911052,0.588944,0.911056
0.065,0.015,0.581921,0.918079,0.581917,0.918083
0.075,0.015,0.57519,0.92481,0.575186,0.924814
0.085,0.015,0.568785,0.931215,0.568782,0.931218
0.095,0.015,0.56273,0.93727,0.562728,0.937272
